ListNumber,ListName,Values,Text Value,,,,,,,,,,
1,LSAScope,1,Systemwide,,,,,,,,,,
1,LSAScope,2,Project-focused,,,,,,,,,,
1,LSAScope,3,HIC,,,,,,,,,,
2,Stat,1,Engage with continuum for first time or after at least 730 days inactive,,,,,,,,,,
2,Stat,2,Return 15-730 days after exit to permanent destination,,,,,,,,,,
2,Stat,3,Re-engage 15-730 days after exit to temporary destination,,,,,,,,,,
2,Stat,4,Re-engage 15-730 days after exit to unknown destination,,,,,,,,,,
2,Stat,5,Continuously engaged,,,,,,,,,,
3,ReturnTime,-1,Not applicable ,,,,,,,,,,
3,ReturnTime,30,15-30 days,,,,,,,,,,
3,ReturnTime,60,31-60 days,,,,,,,,,,
3,ReturnTime,90,61-90 days,,,,,,,,,,
3,ReturnTime,180,91-180 days,,,,,,,,,,
3,ReturnTime,365,181-365 days,,,,,,,,,,
3,ReturnTime,547,366-547 days,,,,,,,,,,
3,ReturnTime,730,548-730 days,,,,,,,,,,
4,HHType,1,AO (adult only),,,,,,,,,,
4,HHType,2,AC (adult & child),,,,,,,,,,
4,HHType,3,CO (child only),,,,,,,,,,
4,HHType,99,UN (unknown),,,,,,,,,,
5,NoYes,0,No,,,,,,,,,,
5,NoYes,1,Yes,,,,,,,,,,
6,RaceEthnicityLSA,1,"American Indian, Alaska Native, or Indigenous",,,,,,,,,,
6,RaceEthnicityLSA,2,Asian or Asian American,,,,,,,,,,
6,RaceEthnicityLSA,3,"Black, African American, or African",,,,,,,,,,
6,RaceEthnicityLSA,4,Native Hawaiian or Pacific Islander,,,,,,,,,,
6,RaceEthnicityLSA,5,White,,,,,,,,,,
6,RaceEthnicityLSA,6,Hispanic/Latina/e/o,,,,,,,,,,
6,RaceEthnicityLSA,7,Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,12,"American Indian, Alaska Native, or Indigenous & Asian or Asian American",,,,,,,,,,
6,RaceEthnicityLSA,13,"American Indian, Alaska Native, or Indigenous & Black, African American, or African",,,,,,,,,,
6,RaceEthnicityLSA,14,"American Indian, Alaska Native, or Indigenous & Native Hawaiian or Pacific Islander",,,,,,,,,,
6,RaceEthnicityLSA,15,"American Indian, Alaska Native, or Indigenous & White",,,,,,,,,,
6,RaceEthnicityLSA,16,"American Indian, Alaska Native, or Indigenous & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,17,"American Indian, Alaska Native, or Indigenous & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,23,"Asian or Asian American & Black, African American, or African",,,,,,,,,,
6,RaceEthnicityLSA,24,Asian or Asian American & Native Hawaiian or Pacific Islander,,,,,,,,,,
6,RaceEthnicityLSA,25,Asian or Asian American & White,,,,,,,,,,
6,RaceEthnicityLSA,26,Asian or Asian American & Hispanic/Latina/e/o,,,,,,,,,,
6,RaceEthnicityLSA,27,Asian or Asian American & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,34,"Black, African American, or African & Native Hawaiian or Pacific Islander",,,,,,,,,,
6,RaceEthnicityLSA,35,"Black, African American, or African & White",,,,,,,,,,
6,RaceEthnicityLSA,36,"Black, African American, or African & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,37,"Black, African American, or African & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,45,Native Hawaiian or Pacific Islander & White,,,,,,,,,,
6,RaceEthnicityLSA,46,Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o,,,,,,,,,,
6,RaceEthnicityLSA,47,Native Hawaiian or Pacific Islander & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,56,White & Hispanic/Latina/e/o,,,,,,,,,,
6,RaceEthnicityLSA,57,White & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,67,Hispanic/Latina/e/o & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,98,Data not provided by client,,,,,,,,,,
6,RaceEthnicityLSA,99,Data not collected or invalid,,,,,,,,,,
6,RaceEthnicityLSA,123,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Black, African American, or African",,,,,,,,,,
6,RaceEthnicityLSA,124,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Native Hawaiian or Pacific Islander",,,,,,,,,,
6,RaceEthnicityLSA,125,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & White",,,,,,,,,,
6,RaceEthnicityLSA,126,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,127,"American Indian, Alaska Native, or Indigenous & Asian or Asian American & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,134,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & Native Hawaiian or Pacific Islander",,,,,,,,,,
6,RaceEthnicityLSA,135,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & White",,,,,,,,,,
6,RaceEthnicityLSA,136,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,137,"American Indian, Alaska Native, or Indigenous & Black, African American, or African & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,145,"American Indian, Alaska Native, or Indigenous & Native Hawaiian or Pacific Islander & White",,,,,,,,,,
6,RaceEthnicityLSA,146,"American Indian, Alaska Native, or Indigenous & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,147,"American Indian, Alaska Native, or Indigenous & Native Hawaiian or Pacific Islander & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,156,"American Indian, Alaska Native, or Indigenous & White & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,157,"American Indian, Alaska Native, or Indigenous & White & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,167,"American Indian, Alaska Native, or Indigenous & Hispanic/Latina/e/o & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,234,"Asian or Asian American & Black, African American, or African & Native Hawaiian or Pacific Islander",,,,,,,,,,
6,RaceEthnicityLSA,235,"Asian or Asian American & Black, African American, or African & White",,,,,,,,,,
6,RaceEthnicityLSA,236,"Asian or Asian American & Black, African American, or African & Hispanic/Latina/e/o",,,,,,,,,,
6,RaceEthnicityLSA,237,"Asian or Asian American & Black, African American, or African & Middle Eastern or North African",,,,,,,,,,
6,RaceEthnicityLSA,245,Asian or Asian American & Native Hawaiian or Pacific Islander & White,,,,,,,,,,
6,RaceEthnicityLSA,246,Asian or Asian American & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o,,,,,,,,,,
6,RaceEthnicityLSA,247,Asian or Asian American & Native Hawaiian or Pacific Islander & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,256,Asian or Asian American & White & Hispanic/Latina/e/o,,,,,,,,,,
6,RaceEthnicityLSA,257,Asian or Asian American & White & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,267,Asian or Asian American & Hispanic/Latina/e/o & Middle Eastern or North African,,,,,,,,,,
6,RaceEthnicityLSA,345,"Black, African American, or African & Native Hawaiian or Pacific Islander & White",,,,,,,,,,
6,RaceEthnicityLSA,346,"Black, African American, or African & Native Hawaiian or Pacific Islander & Hispanic/Latina/e/o",,,,,,,,,,
