FileNumber,FileName,ColumnNumber,Column Name,DataType,List,Nullable,Description,FY2024 Changes,Max Length in HDX 2.0
1,LSAReport,1,ReportID,int,,0,Unique identifier,,10
1,LSAReport,2,ReportDate,datetime,,0,The date and time that reporting procedures completed the process of generating the LSA.,,19
1,LSAReport,3,ReportStart,date,,0,User-entered report parameter,,19
1,LSAReport,4,ReportEnd,date,,0,User-entered report parameter,,19
1,LSAReport,5,ReportCoC,nvarchar(6),,0,User-entered report parameter,,6
1,LSAReport,6,SoftwareVendor,nvarchar(50),,0,The name of the HMIS vendor ,,50
1,LSAReport,7,SoftwareName,nvarchar(50),,0,The name of the HMIS application,,50
1,LSAReport,8,VendorContact,nvarchar(50),,0,Optional name of a vendor contact point for HDX 2.0 staff (department or person),,50
1,LSAReport,9,VendorEmail,nvarchar(50),,0,Optional email for vendor contact,,50
1,LSAReport,10,LSAScope,int,1,0,Identifies whether LSA is systemwide (clients of all relevant continuum projects are included based on project types); project-focused (only clients of projects selected by the user generating the LSA are included); or HIC (systemwide single day),New option (3 = HIC),1
1,LSAReport,11,LookbackDate,date,,0,ReportStart - 7 years,,19
1,LSAReport,12,NoCoC,int,,0,Systemwide count of HouseholdIDs served in continuum ES/SH/TH/RRH/PSH projects during the report period and excluded from the LSA because there is no record of the CoC in which the households were served.  ,,10
1,LSAReport,13,NotOneHoH,int,,0,Systemwide count of HouseholdIDs active in continuum ES/SH/TH/RRH/PSH projects during the report period but excluded from the LSA due to improper designation of a head of household.,,10
1,LSAReport,14,RelationshipToHoH,int,,0,Count of enrollments associated with households active during the LSA report period but excluded from the LSA due to missing/invalid RelationshipToHoH values.,,10
1,LSAReport,15,MoveInDate,int,,0,Count of RRH/PSH enrollments with move-in dates recorded in HMIS that fall either prior to project entry or after project exit.,,10
1,LSAReport,16,UnduplicatedClient,int,,0,A count of distinct  PersonalIDs in LSAPerson,,10
1,LSAReport,17,HouseholdEntry,int,,0,A count of distinct HMIS HouseholdIDs for the active cohort with enrollment dates that fall within the report period.   ,,10
1,LSAReport,18,ClientEntry,int,,0,A count of distinct HMIS EnrollmentIDs for the active cohort with enrollment dates that fall within the report period.   ,,10
1,LSAReport,19,AdultHoHEntry,int,,0,A count of distinct HMIS EnrollmentIDs for adults and heads of household in the active cohort with enrollment dates that fall within the report period.   ,,10
1,LSAReport,20,ClientExit,int,,0,A count of distinct HMIS EnrollmentIDs for the active cohort with an exit date within the report period.   ,,10
