LSACalculated Requirements / Valid Combinations of Column Values ,,,,,,,
ReportRow,Row Description,Cohort,Universe,SystemPath,ProjectID,HHType,Population
LSAHousehold Length of Time Homeless (LOTH),,,,,,,
1,Average days in ES/SH,1,-1,-1,NULL,Any,"0, 10-48, and subpops of 10-15"
2,Average days in TH,1,-1,-1,NULL,Any,"0, 10-48, and subpops of 10-15"
3,Average days in ES/SH or TH,1,-1,-1,NULL,Any,"0, 10-48, and subpops of 10-15"
4,Average days homeless before move-in to RRH/PSH,1,-1,-1,NULL,Any,"0, 10-48, and subpops of 10-15"
5,"Average days documented in ES/SH, TH, or homeless before move-in",1,-1,-1,NULL,Any,"0, 10-48, and subpops of 10-15"
6,Average days homeless self-reported in 3.917,1,-1,-1,NULL,Any,"0, 10-48, and subpops of 10-15"
7,Average days homeless total,1,-1,-1,NULL,Any,"0, 10-48, and subpops of 10-15"
8,Average days housed in RRH,1,-1,-1,NULL,Any,"0, 10-48, and subpops of 10-15"
9,Average days documented homeless or housed in RRH (no 3.917),1,-1,-1,NULL,Any,"0, 10-48, and subpops of 10-15"
LSAHousehold LOTH by System Path,,,,,,,
1,Average days in ES/SH (by system path),1,-1,"(1,3,5,7,9,10,12)",NULL,Any,"0, 10-17"
2,Average days in TH (by system path),1,-1,"(2,3,6,7,12)",NULL,Any,"0, 10-17"
3,Average days in ES/SH or TH (by system path),1,-1,"(3,7,12)",NULL,Any,"0, 10-17"
4,Average days homeless before move-in to RRH/PSH (by system path),1,-1,4-12,NULL,Any,"0, 10-17"
5,"Average days documented in ES/SH, TH, or homeless before move-in (by system path)",1,-1,5-12,NULL,Any,"0, 10-17"
6,Average days homeless self-reported in 3.917 (by system path),1,-1,1-12,NULL,Any,"0, 10-17"
7,Average days homeless total (by system path),1,-1,1-12,NULL,Any,"0, 10-17"
8,Average days housed in RRH (by system path),1,-1,"(4,5,6,7,10,11,12)",NULL,Any,"0, 10-17"
9,Average days documented homeless or housed in RRH (no 3.917) (by system path),1,-1,1-12,NULL,Any,"0, 10-17"
LSAHousehold PSH/RRH ,,,,,,,
10,Average days housed in PSH as of exit date (all exits),1,-1,-1,NULL,Any,"0, 10-17"
11,Average days housed in PSH for households active on last day,1,-1,-1,NULL,Any,"0, 10-17"
12,Average days in RRH from start to exit with no move-in date,1,-1,-1,NULL,Any,"0, 10-17"
13,Average days in RRH from start to report end for active homeless,1,-1,-1,NULL,Any,"0, 10-17"
14,Average days in RRH from start to move-in date for all housed,1,-1,-1,NULL,Any,"0, 10-17"
15,Average days in RRH from move-in to exit for housed exiters,1,-1,-1,NULL,Any,"0, 10-17"
16,Average days in RRH from move-in to report end for active housed,1,-1,-1,NULL,Any,"0, 10-17"
LSAExit by Project Type,,,,,,,
18,Average days to return after exit from ES,"0, -1, -2","2, 3, 4",-1,NULL,Any,"0, 10-17"
19,Average days to return after exit from TH,"0, -1, -2","2, 3, 4",-1,NULL,Any,"0, 10-17"
20,Average days to return after exit from SH,"0, -1, -2","2, 3, 4",-1,NULL,Any,"0, 10-17"
21,Average days to return after exit from RRH,"0, -1, -2","2, 3, 4",-1,NULL,Any,"0, 10-17"
22,Average days to return after exit from PSH,"0, -1, -2","2, 3, 4",-1,NULL,Any,"0, 10-17"
63,Average days to return after exit from RRH with no move-in date,"0, -1, -2","2, 3, 4",-1,NULL,Any,"0, 10-17"
