CEParticipationID,ProjectID,AccessPoint,PreventionAssessment,CrisisAssessment,HousingAssessment,DirectServices,ReceivesReferrals,CEParticipationStatusStartDate,CEParticipationStatusEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"CP123473","RRH121",0,0,0,0,0,0,2015-11-05,,2015-11-26 09:58:28,2021-08-15 11:41:15,"HMISAdmin",,"LSAv8TestJul271308"
"CP123474","RRH122",0,0,0,0,0,0,2017-08-02,,2017-08-02 09:02:07,2021-08-15 09:54:19,"HMISAdmin",,"LSAv8TestJul271308"
"CP123475","RRH123",0,0,0,0,0,0,2017-08-02,,2017-08-02 09:29:34,2021-08-15 10:16:51,"HMISAdmin",,"LSAv8TestJul271308"
"CP123476","RRH124",0,0,0,0,0,0,2017-08-02,,2017-08-02 09:32:26,2023-02-09 10:15:52,"HMISAdmin",,"LSAv8TestJul271308"
"CP123477","NXS116",0,0,0,0,0,0,2012-11-05,,2017-11-03 11:10:43,2024-03-08 09:58:52,"HMISAdmin",,"LSAv8TestJul271308"
"CP123478","NXS127",0,0,0,0,0,0,2017-11-10,,2017-11-10 08:48:24,2021-08-15 11:31:15,"HMISAdmin",,"LSAv8TestJul271308"
"CP123479","NXS128",0,0,0,0,0,0,2017-12-29,,2017-12-29 07:36:32,2021-08-15 10:01:10,"HMISAdmin",,"LSAv8TestJul271308"
"CP123480","NXS129",0,0,0,0,0,0,2018-01-20,,2018-01-20 10:48:36,2021-08-15 11:38:34,"HMISAdmin",,"LSAv8TestJul271308"
"CP123481","RRH126",0,0,0,0,0,0,2017-11-04,,2018-02-18 11:26:58,2021-08-15 10:12:20,"HMISAdmin",,"LSAv8TestJul271308"
"CP123482","NXS130",0,0,0,0,0,0,2019-05-01,,2019-05-01 09:18:54,2023-09-24 15:52:14,"HMISAdmin",,"LSAv8TestJul271308"
"CP123483","RRH131",0,0,0,0,0,0,2019-07-20,,2019-07-20 13:18:32,2023-11-02 15:30:48,"HMISAdmin",,"LSAv8TestJul271308"
"CP123484","RRH132",0,0,0,0,0,0,2019-11-02,,2019-11-02 10:20:16,2024-10-13 17:51:21,"HMISAdmin",,"LSAv8TestJul271308"
"CP123485","RRH133",0,0,0,0,0,0,2019-11-29,,2019-11-29 11:54:48,2021-08-15 10:12:54,"HMISAdmin",,"LSAv8TestJul271308"
"CP123487","NXS135",0,0,0,0,0,0,2020-01-24,,2020-01-24 10:57:27,2025-06-18 12:16:04,"HMISAdmin",,"LSAv8TestJul271308"
"CP123488","OPH136",0,0,0,0,0,0,2020-05-21,,2020-05-21 12:12:38,2024-03-09 16:40:23,"HMISAdmin",,"LSAv8TestJul271308"
"CP123490","HAV137",0,0,0,0,0,0,2020-08-05,,2020-08-10 11:34:33,2022-08-05 09:18:05,"HMISAdmin",,"LSAv8TestJul271308"
"CP123491","NXS138",0,0,0,0,0,0,2020-08-05,,2020-08-16 13:16:46,2022-01-21 11:56:20,"HMISAdmin",,"LSAv8TestJul271308"
"CP123492","RRH142",0,0,0,0,0,0,2020-11-05,,2020-08-30 10:34:29,2022-11-19 10:38:32,"HMISAdmin",,"LSAv8TestJul271308"
"CP123493","RRH143",0,0,0,0,0,0,2020-11-05,,2020-08-30 12:48:07,2024-03-08 09:59:33,"HMISAdmin",,"LSAv8TestJul271308"
"CP123494","RRH140",0,0,0,0,0,0,2020-10-30,,2020-10-30 15:25:20,2024-10-13 17:23:29,"HMISAdmin",,"LSAv8TestJul271308"
"CP123495","RRH141",0,0,0,0,0,0,2020-11-05,,2020-11-08 15:36:29,2023-04-27 11:40:31,"HMISAdmin",,"LSAv8TestJul271308"
"CP123496","OPH144",0,0,0,0,0,0,2020-11-23,2022-11-05,2020-11-23 12:56:24,2024-11-29 11:46:32,"HMISAdmin",,"LSAv8TestJul271308"
"CP123497","OPH145",0,0,0,0,0,0,2021-08-04,,2021-06-13 08:30:14,2024-03-09 15:13:58,"HMISAdmin",,"LSAv8TestJul271308"
"CP123498","TRN146",0,0,0,0,0,0,2021-08-04,,2021-07-15 14:01:16,2022-08-05 09:19:28,"HMISAdmin",,"LSAv8TestJul271308"
"CP123499","NXS147",0,0,0,0,0,0,2021-10-02,,2021-10-02 13:53:52,2024-11-29 13:29:20,"HMISAdmin",,"LSAv8TestJul271308"
