ExitID,EnrollmentID,PersonalID,ExitDate,Destination,DestinationSubsidyType,OtherDestination,HousingAssessment,SubsidyInformation,ProjectCompletionStatus,EarlyExitReason,ExchangeForSex,ExchangeForSexPastThreeMonths,CountOfExchangeForSex,AskedOrForcedToExchangeForSex,AskedOrForcedToExchangeForSexPastThreeMonths,WorkplaceViolenceThreats,WorkplacePromiseDifference,CoercedToContinueWork,LaborExploitPastThreeMonths,CounselingReceived,IndividualCounseling,FamilyCounseling,GroupCounseling,SessionCountAtExit,PostExitCounselingPlan,SessionsInPlan,DestinationSafeClient,DestinationSafeWorker,PosAdultConnections,PosPeerConnections,PosCommunityConnections,AftercareDate,AftercareProvided,EmailSocialMedia,Telephone,InPersonIndividual,InPersonGroup,CMExitReason,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"HAV13710092","HAV13710092","C11943",2024-04-03,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-22 00:00:00,2024-03-23 08:40:53,"HAV137U",,"LSAv8TestJul271308"
"HAV13710109","HAV13710109","C12015",2024-10-29,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-17 00:00:00,2024-10-19 16:09:27,"HAV137U",,"LSAv8TestJul271308"
"HAV13710124","HAV13710124","C18150",2025-06-05,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-24 00:00:00,2025-05-24 09:32:07,"HAV137U",,"LSAv8TestJul271308"
"HAV13710125","HAV13710125","C18147",2023-09-09,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-09 00:00:00,2024-12-21 13:56:25,"HAV137U",,"LSAv8TestJul271308"
"HAV13710500","HAV13710500","C14841",2023-09-23,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-11 00:00:00,2023-09-16 11:54:41,"HAV137U",,"LSAv8TestJul271308"
"HAV13710509","HAV13710509","C20358",2023-09-24,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-12 00:00:00,2023-09-16 13:16:29,"HAV137U",,"LSAv8TestJul271308"
"HAV13710891","HAV13710891","C18654",2023-09-27,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-15 00:00:00,2023-09-18 12:52:55,"HAV137U",,"LSAv8TestJul271308"
"HAV13710952","HAV13710952","C17460",2023-12-27,435,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-15 00:00:00,2023-12-16 13:57:59,"HAV137U",,"LSAv8TestJul271308"
"HAV13711552","HAV13711552","C22275",2024-05-15,435,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-03 00:00:00,2024-05-04 11:40:02,"HAV137U",,"LSAv8TestJul271308"
"HAV13711784","HAV13711784","C21741",2023-12-27,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-15 00:00:00,2023-12-16 10:21:08,"HAV137U",,"LSAv8TestJul271308"
"HAV13711815","HAV13711815","C15582",2023-12-13,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-01 00:00:00,2023-12-03 12:12:28,"HAV137U",,"LSAv8TestJul271308"
"HAV13713157","HAV13713157","C23337",2024-01-16,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-04 00:00:00,2024-01-04 14:00:04,"HAV137U",,"LSAv8TestJul271308"
"HAV13714723","HAV13714723","C24504",2024-02-28,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-16 00:00:00,2024-02-19 14:34:14,"HAV137U",,"LSAv8TestJul271308"
"HAV13714832","HAV13714832","C19236",2024-09-06,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-25 00:00:00,2024-08-30 08:46:25,"HAV137U",,"LSAv8TestJul271308"
"HAV13715202","HAV13715202","C16749",2024-07-06,435,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-06 00:00:00,2024-07-09 11:05:18,"HAV137U",,"LSAv8TestJul271308"
"HAV13715455","HAV13715455","C25656",2024-05-26,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-14 00:00:00,2024-05-18 14:16:01,"HAV137U",,"LSAv8TestJul271308"
"HAV13715473","HAV13715473","C25884",2024-11-03,435,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-22 00:00:00,2024-10-22 09:15:41,"HAV137U",,"LSAv8TestJul271308"
"HAV13715497","HAV13715497","C22656",2024-06-02,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-21 00:00:00,2024-06-07 09:04:20,"HAV137U",,"LSAv8TestJul271308"
"HAV13715555","HAV13715555","C19677",2024-07-10,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-28 00:00:00,2024-07-02 21:45:25,"HAV137U",,"LSAv8TestJul271308"
"HAV13715569","HAV13715569","C12726",2024-10-22,435,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-10 00:00:00,2024-10-13 10:49:07,"HAV137U",,"LSAv8TestJul271308"
"HAV13715762","HAV13715762","C19296",2026-01-17,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-05 00:00:00,2026-01-05 07:26:46,"HAV137U",,"LSAv8TestJul271308"
"HAV13715827","HAV13715827","C11502",2025-01-31,435,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-19 00:00:00,2025-01-21 13:10:50,"HAV137U",,"LSAv8TestJul271308"
