OrganizationID,OrganizationName,VictimServiceProvider,OrganizationCommonName,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"C11","Caring Connections",0,,2004-04-24 16:46:41,2024-03-22 11:23:09,"HMISAdmin",,"LSAv8TestAug011223"
"C32","Compassionate Community",0,,2024-03-01 06:52:13,2024-03-01 06:55:05,"HMISAdmin",,"LSAv8TestAug011223"
"D12","Dream Defenders",0,,2005-03-05 15:24:10,2021-08-15 11:16:01,"HMISAdmin",,"LSAv8TestAug011223"
"D33","Dynamic Dreams",0,,2024-03-03 07:37:40,2024-03-03 07:40:49,"HMISAdmin",,"LSAv8TestAug011223"
"F14","Friendly Futures",0,,2006-06-07 10:05:29,2021-11-12 12:31:49,"HMISAdmin",,"LSAv8TestAug011223"
"G15","Green Guardians",0,,2006-06-07 17:14:40,2021-08-15 11:19:53,"HMISAdmin",,"LSAv8TestAug011223"
"H16","Hope Harbor",0,,2008-01-09 11:43:27,2021-08-15 11:34:19,"HMISAdmin",,"LSAv8TestAug011223"
"H34","Harmonious Hopes",0,,2024-04-06 10:36:13,2024-04-06 10:39:59,"HMISAdmin",,"LSAv8TestAug011223"
"I35","Inspired Ideas",0,,2025-06-19 13:41:15,2025-07-30 13:04:34,"HMISAdmin",,"LSAv8TestAug011223"
"J17","Joyful Journeys",0,,2008-05-04 14:52:18,2021-08-15 11:22:18,"HMISAdmin",,"LSAv8TestAug011223"
"J36","Just Journeys",0,,2026-07-30 14:02:31,2026-07-30 14:02:31,"HMISAdmin",,"LSAv8TestAug011223"
"K18","Kindness Keepers",0,,2009-01-26 12:50:21,2021-08-15 11:21:16,"HMISAdmin",,"LSAv8TestAug011223"
"L19","Loving Lifelines",0,,2014-12-29 16:21:22,2021-08-15 11:40:05,"HMISAdmin",,"LSAv8TestAug011223"
"L37","Lasting Legacies",1,,2026-07-30 14:02:31,2026-07-30 14:02:31,"HMISAdmin",,"LSAv8TestAug011223"
"M13","Motivated Minds",0,,2005-12-24 15:05:42,2024-12-08 12:38:22,"HMISAdmin",,"LSAv8TestAug011223"
"M20","Mindful Mentors",0,,2017-04-09 11:16:22,2023-02-05 09:04:24,"HMISAdmin",,"LSAv8TestAug011223"
"N21","Neighborly Network",0,,2018-03-10 10:55:17,2021-10-03 17:23:39,"HMISAdmin",,"LSAv8TestAug011223"
"N30","Nurturing Nature",0,,2023-05-28 16:01:17,2023-08-23 09:49:50,"HMISAdmin",,"LSAv8TestAug011223"
"P22","Peaceful Projects",0,,2019-05-10 14:12:19,2021-07-10 14:56:06,"HMISAdmin",,"LSAv8TestAug011223"
"Q23","Quality Quest",0,,2019-05-10 15:28:15,2021-07-09 14:39:07,"HMISAdmin",,"LSAv8TestAug011223"
"R24","Resourceful Roots",0,,2019-05-10 15:31:01,2021-07-09 16:07:40,"HMISAdmin",,"LSAv8TestAug011223"
"S25","Safe Spaces",0,,2019-11-02 10:20:16,2024-10-13 17:51:21,"HMISAdmin",,"LSAv8TestAug011223"
"T26","Team Together",0,,2019-11-21 07:41:52,2021-09-04 11:27:21,"HMISAdmin",,"LSAv8TestAug011223"
"U27","United Uplift",0,,2020-08-30 10:34:29,2022-11-19 10:38:32,"HMISAdmin",,"LSAv8TestAug011223"
"V28","Visionary Village",0,,2022-05-05 10:38:34,2022-06-26 14:49:53,"HMISAdmin",,"LSAv8TestAug011223"
"W29","Wellness Wings",0,,2023-05-18 17:34:25,2023-08-23 09:56:24,"HMISAdmin",,"LSAv8TestAug011223"
"Z31","Zealous Zest",0,,2023-12-10 14:59:53,2024-06-14 16:21:21,"HMISAdmin",,"LSAv8TestAug011223"
