ProjectID,OrganizationID,ProjectName,ProjectCommonName,OperatingStartDate,OperatingEndDate,ContinuumProject,ProjectType,HousingType,RRHSubType,ResidentialAffiliation,TargetPopulation,HOPWAMedAssistedLivingFac,PITCount,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"HAV137","L19","Loving Safe Haven",,2020-08-05,2026-07-20,1,8,1,,,4,2,,2020-08-10 11:34:33,2022-08-05 09:18:05,"HMISAdmin",,"LSAv8TestAug011223"
"HAV167","D12","Dream Save Haven",,2024-06-05,2025-08-03,1,8,3,,,4,2,,2024-07-06 10:37:23,2024-10-17 17:54:53,"HMISAdmin",,"LSAv8TestAug011223"
"NBN105","S25","Safe Night-by-Night Shelter",,2005-08-29,,1,1,1,,,4,2,,2004-05-03 15:25:09,2025-04-30 14:05:59,"HMISAdmin",,"LSAv8TestAug011223"
"NBN171","J36","Just Night-by-Night Shelter",,2026-08-05,,1,1,1,,,4,2,,2026-07-30 14:02:31,2026-07-30 14:02:31,"HMISAdmin",,"LSAv8TestAug011223"
"NXS102","L19","Loving Entry-Exit Shelter",,2004-05-15,,1,0,3,,,4,2,,2004-05-15 11:32:29,2024-03-22 08:42:50,"HMISAdmin",,"LSAv8TestAug011223"
"NXS103","I35","Inspired Entry-Exit Shelter 1",,2004-07-01,,1,0,1,,,4,2,,2004-07-01 14:04:40,2023-11-08 12:28:32,"HMISAdmin",,"LSAv8TestAug011223"
"NXS106","W29","Wellness Entry-Exit Shelter 1",,2005-12-24,,1,0,2,,,4,2,,2005-12-24 15:05:42,2024-12-08 12:38:22,"HMISAdmin",,"LSAv8TestAug011223"
"NXS107","S25","Safe Entry-Exit Shelter",,2006-06-07,,1,0,1,,,4,2,,2006-06-07 14:35:30,2021-11-25 12:01:50,"HMISAdmin",,"LSAv8TestAug011223"
"NXS108","D33","Dynamic Entry-Exit Shelter",,2006-06-07,,1,0,1,,,4,2,,2006-06-07 16:44:07,2021-08-15 11:19:09,"HMISAdmin",,"LSAv8TestAug011223"
"NXS109","P22","Peaceful Entry-Exit Shelter",,2008-01-03,,1,0,1,,,4,2,,2008-01-03 15:23:51,2021-08-15 11:11:54,"HMISAdmin",,"LSAv8TestAug011223"
"NXS110","H16","Hope Entry-Exit Shelter",,2009-01-26,,1,0,1,,,4,2,,2009-01-26 12:50:21,2021-08-15 11:21:16,"HMISAdmin",,"LSAv8TestAug011223"
"NXS111","I35","Inspired Entry-Exit Shelter 2",,2010-01-21,,1,0,3,,,4,2,,2010-04-23 10:48:08,2024-03-08 09:59:44,"HMISAdmin",,"LSAv8TestAug011223"
