ServicesID,EnrollmentID,PersonalID,DateProvided,RecordType,TypeProvided,OtherTypeProvided,MovingOnOtherType,SubTypeProvided,FAAmount,FAStartDate,FAEndDate,ReferralOutcome,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"SV123456","NBN10510401","C20028",2023-06-02,200,200,,,,,,,,2023-06-02 00:00:00,2023-06-02 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123457","NBN10510401","C20028",2023-06-03,200,200,,,,,,,,2023-06-03 00:00:00,2023-06-03 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123458","NBN10510401","C20028",2023-06-04,200,200,,,,,,,,2023-06-04 00:00:00,2023-06-04 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123459","NBN10510401","C20028",2023-06-05,200,200,,,,,,,,2023-06-05 00:00:00,2023-06-05 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123460","NBN10510401","C20028",2023-06-06,200,200,,,,,,,,2023-06-06 00:00:00,2023-06-06 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123461","NBN10510401","C20028",2023-06-07,200,200,,,,,,,,2023-06-07 00:00:00,2023-06-07 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123462","NBN10510401","C20028",2023-06-08,200,200,,,,,,,,2023-06-08 00:00:00,2023-06-08 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123463","NBN10510401","C20028",2023-06-09,200,200,,,,,,,,2023-06-09 00:00:00,2023-06-09 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123464","NBN10510401","C20028",2023-06-10,200,200,,,,,,,,2023-06-10 00:00:00,2023-06-10 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123465","NBN10510401","C20028",2023-06-11,200,200,,,,,,,,2023-06-11 00:00:00,2023-06-11 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123466","NBN10510401","C20028",2023-06-13,200,200,,,,,,,,2023-06-13 00:00:00,2023-06-13 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123467","NBN10510401","C20028",2023-06-14,200,200,,,,,,,,2023-06-14 00:00:00,2023-06-14 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123468","NBN10510401","C20028",2023-06-16,200,200,,,,,,,,2023-06-16 00:00:00,2023-06-16 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123469","NBN10510401","C20028",2023-06-17,200,200,,,,,,,,2023-06-17 00:00:00,2023-06-17 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123470","NBN10510401","C20028",2023-06-18,200,200,,,,,,,,2023-06-18 00:00:00,2023-06-18 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123471","NBN10510401","C20028",2023-06-19,200,200,,,,,,,,2023-06-19 00:00:00,2023-06-19 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123472","NBN10510401","C20028",2023-06-20,200,200,,,,,,,,2023-06-20 00:00:00,2023-06-20 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123473","NBN10510401","C20028",2023-06-21,200,200,,,,,,,,2023-06-21 00:00:00,2023-06-21 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123474","NBN10510401","C20028",2023-06-22,200,200,,,,,,,,2023-06-22 00:00:00,2023-06-22 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123475","NBN10510401","C20028",2023-06-23,200,200,,,,,,,,2023-06-23 00:00:00,2023-06-23 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123476","NBN10510401","C20028",2023-06-24,200,200,,,,,,,,2023-06-24 00:00:00,2023-06-24 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123477","NBN10510401","C20028",2023-06-26,200,200,,,,,,,,2023-06-26 00:00:00,2023-06-26 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123478","NBN10510401","C20028",2023-06-27,200,200,,,,,,,,2023-06-27 00:00:00,2023-06-27 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123479","NBN10510401","C20028",2023-06-28,200,200,,,,,,,,2023-06-28 00:00:00,2023-06-28 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123480","NBN10510401","C20028",2023-06-29,200,200,,,,,,,,2023-06-29 00:00:00,2023-06-29 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123481","NBN10510401","C20028",2023-06-30,200,200,,,,,,,,2023-06-30 00:00:00,2023-06-30 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123482","NBN10510401","C20028",2023-07-01,200,200,,,,,,,,2023-07-01 00:00:00,2023-07-01 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123483","NBN10510401","C20028",2023-07-02,200,200,,,,,,,,2023-07-02 00:00:00,2023-07-02 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123484","NBN10510401","C20028",2023-07-03,200,200,,,,,,,,2023-07-03 00:00:00,2023-07-03 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123485","NBN10510401","C20028",2023-07-04,200,200,,,,,,,,2023-07-04 00:00:00,2023-07-04 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123486","NBN10510401","C20028",2023-07-05,200,200,,,,,,,,2023-07-05 00:00:00,2023-07-05 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123487","NBN10510401","C20028",2023-07-06,200,200,,,,,,,,2023-07-06 00:00:00,2023-07-06 00:00:00,"NBN105U",,"LSAv8TestAug011223"
"SV123488","NBN10510401","C20028",2023-07-07,200,200,,,,,,,,2023-07-07 00:00:00,2023-07-07 00:00:00,"NBN105U",,"LSAv8TestAug011223"
