UserID,UserFirstName,UserLastName,UserPhone,UserExtension,UserEmail,DateCreated,DateUpdated,DateDeleted,ExportID
"HMISAdmin",,,,,,2004-05-02 15:25:09,2021-08-15 09:54:19,,"LSAv8TestJul271308"
"RRH149U",,,,,,2022-12-12 00:00:00,2023-09-22 14:38:45,,"LSAv8TestJul271308"
"RRH158U",,,,,,2024-02-01 00:00:00,2025-02-14 15:59:02,,"LSAv8TestJul271308"
"PSH165U",,,,,,2024-12-09 00:00:00,2025-01-14 15:15:39,,"LSAv8TestJul271308"
"TRN118U",,,,,,2023-06-15 00:00:00,2023-08-13 14:35:56,,"LSAv8TestJul271308"
"NXS106U",,,,,,2023-07-04 00:00:00,2023-08-10 14:26:43,,"LSAv8TestJul271308"
"RSO152U",,,,,,2023-06-19 00:00:00,2023-08-20 15:51:47,,"LSAv8TestJul271308"
"RRH162U",,,,,,2024-09-04 00:00:00,2025-01-11 14:35:30,,"LSAv8TestJul271308"
"TRN117U",,,,,,2023-08-04 00:00:00,2024-07-23 02:41:51,,"LSAv8TestJul271308"
"RRH161U",,,,,,2024-11-14 00:00:00,2025-06-16 08:32:00,,"LSAv8TestJul271308"
"HIC151U",,,,,,2023-05-31 00:00:00,2023-08-11 08:50:20,,"LSAv8TestJul271308"
"RRH143U",,,,,,2023-02-01 00:00:00,2023-09-24 09:21:58,,"LSAv8TestJul271308"
"NXS129U",,,,,,2023-01-04 00:00:00,2023-08-24 08:20:00,,"LSAv8TestJul271308"
"TRN104U",,,,,,2023-06-22 00:00:00,2023-08-18 13:17:43,,"LSAv8TestJul271308"
"NXS109U",,,,,,2023-06-24 00:00:00,2023-08-06 14:32:40,,"LSAv8TestJul271308"
"RRH121U",,,,,,2022-08-27 00:00:00,2023-08-14 08:39:08,,"LSAv8TestJul271308"
"RRH140U",,,,,,2022-01-28 00:00:00,2023-09-21 08:54:36,,"LSAv8TestJul271308"
"NXS114U",,,,,,2023-07-01 00:00:00,2023-08-08 21:53:32,,"LSAv8TestJul271308"
"RRH126U",,,,,,2023-04-20 00:00:00,2023-08-31 14:25:50,,"LSAv8TestJul271308"
"RRH141U",,,,,,2021-12-30 00:00:00,2023-08-12 14:09:34,,"LSAv8TestJul271308"
"NXS102U",,,,,,2022-09-30 00:00:00,2022-11-08 10:14:01,,"LSAv8TestJul271308"
"NXS112U",,,,,,2023-03-19 00:00:00,2023-08-17 10:38:09,,"LSAv8TestJul271308"
"RRH133U",,,,,,2022-12-22 00:00:00,2023-08-28 14:58:57,,"LSAv8TestJul271308"
"NXS127U",,,,,,2023-10-04 00:00:00,2023-10-08 20:13:31,,"LSAv8TestJul271308"
"NXS138U",,,,,,2023-06-08 00:00:00,2023-08-04 07:42:59,,"LSAv8TestJul271308"
"NXS108U",,,,,,2023-06-30 00:00:00,2023-08-05 10:48:58,,"LSAv8TestJul271308"
"NXS139U",,,,,,2023-09-03 00:00:00,2023-09-06 08:06:40,,"LSAv8TestJul271308"
"PSH119U",,,,,,2016-12-02 00:00:00,2023-10-22 15:11:06,,"LSAv8TestJul271308"
"PSH148U",,,,,,2022-12-01 00:00:00,2022-12-02 16:41:34,,"LSAv8TestJul271308"
"RRH160U",,,,,,2024-06-06 00:00:00,2024-08-24 09:34:06,,"LSAv8TestJul271308"
"RRH155U",,,,,,2024-07-20 00:00:00,2025-01-03 13:00:23,,"LSAv8TestJul271308"
"NXS111U",,,,,,2023-07-25 00:00:00,2023-08-10 09:59:35,,"LSAv8TestJul271308"
"PSH120U",,,,,,2015-08-08 00:00:00,2023-11-16 15:17:06,,"LSAv8TestJul271308"
"OPH115U",,,,,,2012-09-01 00:00:00,2023-11-16 15:30:25,,"LSAv8TestJul271308"
"RRH169U",,,,,,2026-04-24 00:00:00,2026-04-25 16:04:18,,"LSAv8TestJul271308"
"NXS116U",,,,,,2023-07-07 00:00:00,2023-08-07 10:08:58,,"LSAv8TestJul271308"
"RRH157U",,,,,,2024-07-01 00:00:00,2024-09-22 10:30:50,,"LSAv8TestJul271308"
"NXS135U",,,,,,2024-01-03 00:00:00,2024-11-15 09:15:43,,"LSAv8TestJul271308"
"PSH164U",,,,,,2024-12-20 00:00:00,2025-01-03 16:57:35,,"LSAv8TestJul271308"
"RRH170U",,,,,,2026-04-16 00:00:00,2026-04-17 15:21:24,,"LSAv8TestJul271308"
"RRH124U",,,,,,2023-02-15 00:00:00,2023-08-04 14:58:15,,"LSAv8TestJul271308"
"NXS103U",,,,,,2023-05-12 00:00:00,2023-08-10 10:09:11,,"LSAv8TestJul271308"
"NXS147U",,,,,,2023-10-03 00:00:00,2023-10-14 12:27:50,,"LSAv8TestJul271308"
"NXS151U",,,,,,2023-05-31 00:00:00,2023-08-11 08:50:20,,"LSAv8TestJul271308"
"HAV137U",,,,,,2022-03-19 00:00:00,2023-09-16 11:54:41,,"LSAv8TestJul271308"
"RRH122U",,,,,,2023-02-19 00:00:00,2023-08-14 12:58:32,,"LSAv8TestJul271308"
"RRH153U",,,,,,2023-07-21 00:00:00,2023-10-23 15:20:25,,"LSAv8TestJul271308"
"PSH180U",,,,,,2022-08-04 00:00:00,2022-08-25 00:00:00,,"LSAv8TestJul271308"
"RRH132U",,,,,,2022-12-22 00:00:00,2023-08-13 17:00:17,,"LSAv8TestJul271308"
"RRH159U",,,,,,2024-06-27 00:00:00,2024-11-03 08:39:48,,"LSAv8TestJul271308"
"NXS110U",,,,,,2023-05-26 00:00:00,2023-08-04 15:01:56,,"LSAv8TestJul271308"
"RRH123U",,,,,,2023-04-01 00:00:00,2023-08-07 14:27:30,,"LSAv8TestJul271308"
"RRH156U",,,,,,2024-07-12 00:00:00,2024-08-17 14:35:22,,"LSAv8TestJul271308"
"NXS113U",,,,,,2023-02-26 00:00:00,2023-08-05 07:19:06,,"LSAv8TestJul271308"
"NBN105U",,,,,,2023-06-01 00:00:00,2023-08-06 22:41:51,,"LSAv8TestJul271308"
"RRH154U",,,,,,2023-12-24 00:00:00,2024-03-18 14:35:56,,"LSAv8TestJul271308"
"TRN146U",,,,,,2023-07-30 00:00:00,2023-08-21 13:10:16,,"LSAv8TestJul271308"
"NXS107U",,,,,,2023-06-07 00:00:00,2023-08-04 09:57:29,,"LSAv8TestJul271308"
"RRH134U",,,,,,2023-02-17 00:00:00,2023-08-06 14:22:42,,"LSAv8TestJul271308"
"RRH131U",,,,,,2023-03-01 00:00:00,2023-11-22 18:14:22,,"LSAv8TestJul271308"
