FunderID,ProjectID,Funder,OtherFunder,GrantID,StartDate,EndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"FN123456","TRN104",44,,,"2004-12-29",,"2004-12-29 15:43:20","2025-08-04 12:34:56",,,607271242
"FN123457","NXS113",46,"Other or Local",,"2011-07-21",,"2011-07-21 09:07:41","2025-08-04 12:34:56",,,607271242
"FN123458","TRN117",23,,,"2013-06-16",,"2013-06-16 15:41:16","2025-08-04 12:34:56",,,607271242
"FN123459","RRH121",54,,,"2015-11-05",,"2015-11-26 09:58:28","2025-08-04 12:34:56",,,607271242
"FN123460","RRH122",33,,,"2017-08-02",,"2017-12-02 08:59:21","2021-09-04 16:09:59",,,607271242
"FN123462","RRH124",33,,,"2017-08-02",,"2017-12-07 08:16:43","2021-09-04 16:10:57",,,607271242
"FN123463","RRH123",55,,,"2017-08-02",,"2017-12-14 09:08:11","2021-09-04 16:10:33",,,607271242
"FN123468","NBN105",8,,,"2017-11-04",,"2017-12-29 14:27:46","2022-11-27 11:30:14",,,607271242
"FN123469","NXS129",13,,,"2018-01-20",,"2018-01-20 10:48:36","2018-01-20 10:48:36",,,607271242
"FN123471","RRH126",46,"Other or Local",,"2017-11-04",,"2018-02-18 11:26:58","2025-08-04 12:34:56",,,607271242
"FN123475","NXS110",34,,,"2012-08-04",,"2018-04-22 10:47:07","2021-09-04 15:49:23",,,607271242
"FN123476","NXS109",8,,,"2020-11-05",,"2018-04-22 10:50:58","2020-12-06 09:50:08",,,607271242
"FN123477","TRN118",19,,,"2013-09-18",,"2018-04-22 11:47:44","2021-09-04 15:56:16",,,607271242
"FN123478","PSH119",20,,,"2014-11-05",,"2018-04-22 11:54:48","2021-09-11 11:35:17",,,607271242
"FN123483","RRH131",46,"Other or Local",,"2019-07-20",,"2019-07-20 13:18:32","2025-08-04 12:34:56",,,607271242
"FN123486","RRH132",10,,,"2019-11-02",,"2019-11-02 10:20:16","2025-08-04 12:34:56",,,607271242
"FN123489","RRH133",46,"Other or Local",,"2019-11-29",,"2019-11-29 11:54:48","2025-08-04 12:34:56",,,607271242
"FN123492","HAV137",38,,,"2020-08-05","2026-07-20","2020-08-10 11:34:33","2021-09-04 16:24:15",,,607271242
"FN123496","RRH143",46,"Other or Local",,"2020-11-05",,"2020-08-30 12:48:07","2025-08-04 12:34:56",,,607271242
"FN123498","NXS111",8,,,"2020-11-05",,"2020-08-31 13:49:00","2020-08-31 13:49:00",,,607271242
"FN123499","NXS138",8,,,"2020-11-05",,"2020-09-04 10:20:24","2022-09-18 12:23:22",,,607271242
"FN123500","RRH140",46,"Other or Local",,"2020-10-30",,"2020-10-30 15:25:20","2025-08-04 12:34:56",,,607271242
"FN123501","RRH141",46,"Other or Local",,"2020-11-05",,"2020-11-08 15:36:29","2025-08-04 12:34:56",,,607271242
"FN123507","NXS108",34,,,"2020-11-05",,"2020-11-12 10:10:19","2020-11-12 10:10:19",,,607271242
"FN123509","NXS112",34,,,"2020-11-05",,"2020-11-12 10:22:42","2020-11-12 10:22:42",,,607271242
"FN123515","TRN146",37,,,"2021-08-04",,"2021-07-15 14:01:16","2021-07-15 14:03:04",,,607271242
"FN123517","PSH148",46,"Other or Local",,"2021-11-04",,"2021-10-14 08:41:54","2025-08-04 12:34:56",,,607271242
"FN123520","RRH149",46,"Other or Local",,"2021-11-04",,"2021-12-23 09:24:22","2025-08-04 12:34:56",,,607271242
"FN123521","RSO152",43,,,"2022-04-14",,"2022-04-14 07:32:23","2025-08-04 12:34:56",,,607271242
"FN123523","RRH153",46,"Other or Local",,"2022-07-06",,"2022-05-05 10:38:34","2025-08-04 12:34:56",,,607271242
"FN123549","RRH154",46,"Other or Local",,"2022-11-05",,"2022-11-19 10:37:58","2025-08-04 12:34:56",,,607271242
"FN123557","TRN117",24,,,"2023-08-05",,"2023-08-05 12:34:56","2023-08-05 12:34:56",,,607271242
"FN123558","TRN117",26,,,"2023-08-05",,"2023-08-05 12:34:56","2023-08-05 12:34:56",,,607271242
"FN123560","HAV137",30,,,"2023-08-05","2026-07-20","2023-08-05 12:34:56","2023-08-05 12:34:56",,,607271242
"FN123563","RRH158",3,,,"2023-01-03",,"2023-08-26 17:12:38","2023-08-26 17:12:38",,,607271242
"FN123564","NXS116",53,,,"2023-01-03",,"2023-08-26 17:27:01","2023-08-26 17:27:01",,,607271242
"FN123578","PSH120",20,,,"2021-11-04",,"2023-08-31 08:39:45","2023-08-31 08:39:45",,,607271242
"FN123579","NXS151",34,,,"2021-11-24",,"2023-08-31 08:44:36","2023-08-31 08:44:36",,,607271242
"FN123583","NXS106",8,,,"2022-11-05",,"2023-08-31 09:26:18","2023-08-31 09:26:18",,,607271242
"FN123584","NXS107",34,,,"2006-06-07",,"2023-08-31 09:27:58","2023-08-31 09:27:58",,,607271242
"FN123586","NXS127",34,,,"2017-11-10",,"2023-08-31 10:55:03","2023-08-31 10:55:03",,,607271242
"FN123590","NXS147",34,,,"2021-10-02",,"2023-08-31 12:06:57","2023-08-31 12:06:57",,,607271242
"FN123597","NXS135",8,,,"2020-01-24",,"2023-10-27 17:41:24","2023-10-27 17:41:24",,,607271242
"FN123599","PSH164",15,,,"2023-11-24",,"2023-11-24 15:35:34","2025-08-04 12:34:56",,,607271242
"FN123602","PSH165",2,,,"2023-12-10",,"2024-09-23 15:58:16","2024-09-23 15:58:16",,,607271242
"FN123609","RRH132",10,,,"2024-11-05","2025-11-03","2024-10-07 17:04:33","2024-10-13 17:42:21",,,607271242
"FN123610","RRH133",3,,,"2024-11-05","2025-11-03","2024-10-11 16:02:48","2024-10-13 16:17:21",,,607271242
"FN123611","RRH140",3,,,"2024-11-05","2025-11-03","2024-10-12 10:36:06","2024-10-13 17:24:32",,,607271242
"FN123613","RSO152",43,,,"2024-11-05","2025-11-03","2024-10-12 10:50:49","2024-10-13 17:37:23",,,607271242
"FN123615","RRH149",3,,,"2024-11-05","2025-11-03","2024-10-12 11:03:39","2024-10-12 11:03:39",,,607271242
"FN123616","PSH148",2,,,"2024-11-05","2025-11-03","2024-10-12 11:08:56","2024-10-12 11:08:56",,,607271242
"FN123618","RRH154",3,,,"2024-11-05","2025-11-03","2024-10-12 12:40:43","2024-10-12 12:40:43",,,607271242
