HMISParticipationID,ProjectID,HMISParticipationType,HMISParticipationStatusStartDate,HMISParticipationStatusEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"HP123456","RRH121",1,"2015-11-05",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123457","RRH122",1,"2017-08-02",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123458","RRH123",1,"2017-08-02",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123459","RRH124",1,"2017-08-02",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123460","NXS116",1,"2012-11-05",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123461","NXS127",1,"2017-11-10",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123463","NXS129",1,"2018-01-20",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123464","RRH126",1,"2017-11-04",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123466","RRH131",1,"2019-07-20",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123467","RRH132",1,"2019-11-02",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123468","RRH133",1,"2019-11-29",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123470","NXS135",1,"2020-01-24",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123473","HAV137",1,"2020-08-05","2026-07-20","2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123474","NXS138",1,"2020-08-05",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123476","RRH143",1,"2020-11-05",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123477","RRH140",1,"2020-10-30",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123478","RRH141",1,"2020-11-05",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123480","TRN146",1,"2021-08-04",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123481","NXS147",1,"2021-10-02",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123482","PSH148",1,"2021-11-04",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123483","RRH149",1,"2021-11-04",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123484","PSH120",1,"2015-08-09",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123485","NXS151",1,"2021-11-24",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123486","RSO152",1,"2022-04-14",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123487","RRH153",1,"2022-07-06",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123489","OPH115",1,"2012-09-02",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123490","RRH154",1,"2022-11-05",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123491","RRH155",1,"2023-01-03",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123492","RRH156",1,"2023-01-03",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123493","RRH157",1,"2023-01-03",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123494","RRH158",1,"2023-01-03",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123495","RRH159",1,"2023-01-03",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123496","RRH160",1,"2023-01-03",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123497","RRH161",1,"2023-01-03",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123500","PSH164",1,"2023-11-24",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123501","PSH165",1,"2023-12-10",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123505","RRH169",1,"2026-05-04",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
"HP123506","RRH170",1,"2025-04-04",,"2026-07-30 14:02:31","2026-07-30 14:02:31",,,607271242
