InventoryID,ProjectID,CoCCode,HouseholdType,Availability,UnitInventory,BedInventory,CHVetBedInventory,YouthVetBedInventory,VetBedInventory,CHYouthBedInventory,YouthBedInventory,CHBedInventory,OtherBedInventory,ESBedType,InventoryStartDate,InventoryEndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"IN123456","NBN105","XX-501",1,1,24,24,0,0,0,0,0,0,24,1,"2005-08-29",,"2004-05-03 15:25:09","2025-08-04 12:34:56",,,607271242
"IN123458","TRN117","XX-501",4,,4,4,0,0,0,0,0,0,4,,"2013-06-16",,"2013-06-16 15:41:16","2025-08-04 12:34:56",,,607271242
"IN123459","NXS127","XX-501",1,1,10,10,0,0,0,0,0,0,10,1,"2017-11-10",,"2017-11-10 08:48:24","2025-08-04 12:34:56",,,607271242
"IN123465","NXS147","XX-501",1,1,10,10,0,0,0,0,0,0,10,2,"2021-10-02",,"2021-10-02 13:53:52","2025-08-04 12:34:56",,,607271242
"IN123467","RRH155","XX-501",1,,14,14,0,0,0,0,0,0,14,,"2023-01-03",,"2023-05-18 17:27:14","2025-08-04 12:34:56",,,607271242
"IN123474","NXS114","XX-501",1,1,79,79,0,0,0,0,0,0,79,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123475","NXS114","XX-501",3,1,19,19,0,0,0,0,0,0,19,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123476","NXS102","XX-501",1,1,13,13,0,0,0,0,0,0,13,2,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123477","NXS102","XX-501",3,1,189,189,0,0,0,0,0,0,189,2,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123478","NXS103","XX-501",1,1,13,13,0,0,0,0,0,0,13,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123479","NXS103","XX-501",3,1,37,37,0,0,0,0,0,0,37,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123480","TRN104","XX-501",1,,9,9,0,0,0,0,0,0,9,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123481","NXS106","XX-501",1,1,67,67,0,0,0,0,0,0,67,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123482","NXS106","XX-501",3,1,19,19,0,0,0,0,0,0,19,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123483","NXS107","XX-501",4,1,1,1,0,0,0,0,0,0,1,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123484","NXS107","XX-501",1,1,20,20,0,0,0,0,0,0,20,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123486","NXS108","XX-501",1,1,29,29,0,0,0,0,0,0,29,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123487","NXS109","XX-501",1,1,23,23,0,0,0,0,0,0,23,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123488","NXS110","XX-501",1,1,33,33,0,0,0,0,0,0,33,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123489","NXS110","XX-501",3,1,11,11,0,0,0,0,0,0,11,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123490","NXS112","XX-501",1,1,20,20,0,0,0,0,0,0,20,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123491","NXS111","XX-501",1,1,5,5,0,0,0,0,0,0,5,2,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123492","NXS111","XX-501",3,1,35,35,0,0,0,0,0,0,35,2,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123493","NXS113","XX-501",1,1,37,37,0,0,0,0,0,0,37,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123494","TRN118","XX-501",1,,14,14,0,0,14,0,0,0,0,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123495","PSH119","XX-501",1,,88,88,0,0,88,0,0,0,0,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123496","PSH119","XX-501",3,,2,8,0,0,8,0,0,0,0,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123497","RRH121","XX-501",1,,13,13,0,0,0,0,0,0,13,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123498","RRH121","XX-501",3,,17,17,0,0,0,0,0,0,17,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123499","RRH122","XX-501",1,,12,12,0,0,12,0,0,0,0,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123500","RRH122","XX-501",3,,18,18,0,0,18,0,0,0,0,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123501","RRH123","XX-501",1,,64,64,0,0,64,0,0,0,0,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123502","RRH123","XX-501",3,,30,30,0,0,30,0,0,0,0,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123503","RRH124","XX-501",1,,28,28,0,0,28,0,0,0,0,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123504","RRH124","XX-501",3,,14,14,0,0,14,0,0,0,0,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123505","NXS116","XX-501",1,1,19,19,0,0,0,0,0,0,19,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123506","NXS129","XX-501",1,1,56,56,0,0,0,0,0,0,56,2,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123507","RRH126","XX-501",1,,13,13,0,0,0,0,0,0,13,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123508","RRH131","XX-501",1,,29,29,0,0,0,0,0,0,29,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123509","RRH131","XX-501",3,,27,27,0,0,0,0,0,0,27,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123510","RRH132","XX-501",1,,95,95,0,0,0,0,0,0,95,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123511","RRH132","XX-501",3,,73,73,0,0,0,0,0,0,73,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123512","RRH133","XX-501",1,,25,25,0,0,0,0,0,0,25,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123513","RRH133","XX-501",3,,37,37,0,0,0,0,0,0,37,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123514","NXS135","XX-501",1,1,21,21,0,0,0,0,0,0,21,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123515","HAV137","XX-501",1,,8,8,0,0,8,0,0,0,0,,"2025-08-04","2026-07-20","2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123516","NXS138","XX-501",1,1,13,13,0,0,0,0,0,0,13,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123517","NXS138","XX-501",3,1,25,25,0,0,0,0,0,0,25,1,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123518","RRH143","XX-501",1,,27,27,0,0,0,0,0,0,27,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123519","RRH140","XX-501",1,,11,11,0,0,0,0,0,0,11,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123520","RRH140","XX-501",3,,19,19,0,0,0,0,0,0,19,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123521","RRH141","XX-501",1,,7,7,0,0,0,0,0,0,7,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123522","RRH141","XX-501",3,,9,9,0,0,0,0,0,0,9,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
"IN123523","TRN146","XX-501",1,,8,8,0,0,8,0,0,0,0,,"2025-08-04",,"2025-08-04 12:34:56","2025-08-04 12:34:56",,,607271242
