Value,Cohort,Universe,HHType,Population,SystemPath,ProjectID,ReportRow,ReportID,Step
221,1,-1,3,38,-1,,8,607271242,"8.4-8.7"
36,1,-1,2,1342,-1,,7,607271242,"8.4-8.7"
1022,1,-1,0,1315,-1,,7,607271242,"8.4-8.7"
55,1,-1,1,1419,-1,,3,607271242,"8.4-8.7"
56,1,-1,0,42,-1,,1,607271242,"8.4-8.7"
423,1,-1,1,13,1,,7,607271242,"8.4-8.7"
59,1,-1,1,1437,-1,,1,607271242,"8.4-8.7"
12,1,-1,1,30,-1,,8,607271242,"8.4-8.7"
164,1,-1,2,15,-1,,8,607271242,"8.4-8.7"
237,1,-1,2,17,5,,8,607271242,"8.4-8.7"
56,1,-1,1,1319,-1,,4,607271242,"8.4-8.7"
31,1,-1,3,36,-1,,1,607271242,"8.4-8.7"
179,1,-1,1,16,-1,,8,607271242,"8.4-8.7"
42,1,-1,1,1043,-1,,3,607271242,"8.4-8.7"
218,1,-1,1,11,-1,,8,607271242,"8.4-8.7"
88,1,-1,0,1544,-1,,2,607271242,"8.4-8.7"
184,1,-1,2,42,-1,,6,607271242,"8.4-8.7"
17,1,-1,1,1329,-1,,5,607271242,"8.4-8.7"
74,1,-1,0,48,-1,,2,607271242,"8.4-8.7"
211,1,-1,0,17,12,,2,607271242,"8.4-8.7"
129,1,-1,1,16,6,,5,607271242,"8.4-8.7"
55,1,-1,2,1238,-1,,5,607271242,"8.4-8.7"
69,1,-1,1,1548,-1,,3,607271242,"8.4-8.7"
878,1,-1,2,1544,-1,,7,607271242,"8.4-8.7"
606,1,-1,1,1343,-1,,7,607271242,"8.4-8.7"
272,1,-1,0,13,10,,5,607271242,"8.4-8.7"
1147,1,-1,0,22,-1,,6,607271242,"8.4-8.7"
15,1,-1,99,31,-1,,3,607271242,"8.4-8.7"
469,1,-1,2,1238,-1,,6,607271242,"8.4-8.7"
57,1,-1,1,1037,-1,,9,607271242,"8.4-8.7"
160,1,-1,2,42,-1,,7,607271242,"8.4-8.7"
52,1,-1,1,1048,-1,,5,607271242,"8.4-8.7"
86,1,-1,2,0,8,,7,607271242,"8.4-8.7"
509,1,-1,1,45,-1,,6,607271242,"8.4-8.7"
11,1,-1,2,1235,-1,,4,607271242,"8.4-8.7"
