RowTotal,Cohort,Stat,ExitFrom,ExitTo,ReturnTime,HHType,HHVet,HHChronic,HHDisability,HHFleeingDV,HoHRaceEthnicity,HHAdultAge,HHParent,AC3Plus,SystemPath,ReportID
1,-2,1,2,24,-1,1,0,0,0,2,346,25,0,0,1,608011156
2,-2,1,2,98,-1,1,0,0,0,0,1,25,0,0,1,608011156
2,-2,1,2,98,-1,1,0,0,0,0,3,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,0,0,5,24,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,0,0,5,25,0,0,1,608011156
2,-2,1,2,98,-1,1,0,0,0,0,5,55,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,0,0,24,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,0,0,46,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,0,0,56,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,0,1,3,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,0,2,5,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,0,2,5,55,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,0,2,46,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,0,2,245,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,1,0,3,25,0,0,1,608011156
6,-2,1,2,98,-1,1,0,0,1,0,5,25,0,0,1,608011156
3,-2,1,2,98,-1,1,0,0,1,0,5,55,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,1,0,124,55,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,1,0,247,24,0,0,1,608011156
2,-2,1,2,98,-1,1,0,0,1,1,15,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,1,2,3,25,0,0,1,608011156
3,-2,1,2,98,-1,1,0,0,1,2,5,55,0,0,1,608011156
1,-2,1,2,98,-1,1,0,0,1,2,14,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,1,1,0,5,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,1,1,0,15,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,1,1,0,67,25,0,0,1,608011156
2,-2,1,2,98,-1,1,0,1,1,2,5,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,1,1,3,456,55,0,0,1,608011156
1,-2,1,2,98,-1,1,0,4,0,0,5,25,0,0,1,608011156
1,-2,1,2,98,-1,1,0,5,1,0,5,55,0,0,1,608011156
1,-2,1,2,98,-1,1,0,6,1,0,5,25,0,0,1,608011156
1,-2,1,2,98,-1,1,1,0,1,0,5,55,0,0,1,608011156
1,-2,1,2,98,-1,2,0,0,0,0,5,18,1,0,1,608011156
1,-2,1,2,98,-1,2,0,0,0,2,36,25,1,0,1,608011156
1,-2,1,2,98,-1,2,0,0,1,0,3,25,1,0,1,608011156
1,-2,1,2,98,-1,2,0,0,1,2,5,25,1,0,1,608011156
1,-2,1,2,98,-1,2,0,0,1,2,5,25,1,1,1,608011156
1,-2,1,2,98,-1,99,0,9,0,0,98,-1,0,0,1,608011156
1,-2,1,2,98,90,1,0,0,0,0,5,18,0,0,1,608011156
1,-2,1,2,98,365,1,0,0,1,0,3,24,0,0,1,608011156
1,-2,1,2,98,365,1,0,0,1,0,5,25,0,0,1,608011156
1,-2,1,2,98,365,1,0,0,1,2,246,24,0,0,1,608011156
1,-2,1,2,98,365,1,0,1,1,1,2,25,0,0,1,608011156
1,-2,1,2,98,365,1,0,4,0,0,3,55,0,0,1,608011156
1,-2,1,2,98,365,1,0,4,0,0,17,25,0,0,1,608011156
1,-2,1,2,98,547,1,0,0,1,0,3,55,0,0,1,608011156
1,-2,1,2,98,547,1,0,0,1,0,5,55,0,0,1,608011156
1,-2,1,2,98,547,1,0,4,0,0,5,24,0,0,1,608011156
1,-2,1,2,98,730,1,0,0,0,0,4,25,0,0,1,608011156
1,-2,1,2,98,730,1,0,0,1,2,346,25,0,0,1,608011156
1,-2,1,2,98,730,1,0,1,1,1,567,25,0,0,1,608011156
1,-2,1,2,98,730,1,0,4,0,0,3,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,0,1,18,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,0,2,25,0,0,1,608011156
2,-2,1,2,99,-1,1,0,0,0,0,2,55,0,0,1,608011156
2,-2,1,2,99,-1,1,0,0,0,0,3,18,0,0,1,608011156
4,-2,1,2,99,-1,1,0,0,0,0,3,24,0,0,1,608011156
10,-2,1,2,99,-1,1,0,0,0,0,3,25,0,0,1,608011156
4,-2,1,2,99,-1,1,0,0,0,0,3,55,0,0,1,608011156
2,-2,1,2,99,-1,1,0,0,0,0,5,24,0,0,1,608011156
11,-2,1,2,99,-1,1,0,0,0,0,5,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,0,5,55,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,0,6,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,0,13,55,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,0,14,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,0,37,25,0,0,1,608011156
3,-2,1,2,99,-1,1,0,0,0,0,56,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,0,346,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,0,347,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,0,356,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,0,367,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,1,3,18,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,1,3,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,1,5,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,1,5,55,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,2,3,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,2,3,55,0,0,1,608011156
4,-2,1,2,99,-1,1,0,0,0,2,5,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,2,5,55,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,2,16,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,0,2,24,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,0,3,18,0,0,1,608011156
5,-2,1,2,99,-1,1,0,0,1,0,3,25,0,0,1,608011156
2,-2,1,2,99,-1,1,0,0,1,0,3,55,0,0,1,608011156
2,-2,1,2,99,-1,1,0,0,1,0,5,18,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,0,5,24,0,0,1,608011156
11,-2,1,2,99,-1,1,0,0,1,0,5,25,0,0,1,608011156
2,-2,1,2,99,-1,1,0,0,1,0,5,55,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,0,15,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,0,15,55,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,0,34,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,0,46,55,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,0,56,18,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,0,134,55,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,0,235,24,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,1,3,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,1,5,18,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,1,5,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,1,457,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,2,5,24,0,0,1,608011156
3,-2,1,2,99,-1,1,0,0,1,2,5,25,0,0,1,608011156
2,-2,1,2,99,-1,1,0,0,1,2,5,55,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,2,56,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,2,347,55,0,0,1,608011156
1,-2,1,2,99,-1,1,0,0,1,3,3,55,0,0,1,608011156
2,-2,1,2,99,-1,1,0,1,1,0,3,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,1,1,0,3,55,0,0,1,608011156
1,-2,1,2,99,-1,1,0,1,1,0,5,18,0,0,1,608011156
4,-2,1,2,99,-1,1,0,1,1,0,5,25,0,0,1,608011156
3,-2,1,2,99,-1,1,0,1,1,0,5,55,0,0,1,608011156
1,-2,1,2,99,-1,1,0,1,1,0,24,18,0,0,1,608011156
1,-2,1,2,99,-1,1,0,1,1,0,35,25,0,0,1,608011156
1,-2,1,2,99,-1,1,0,1,1,0,56,55,0,0,1,608011156
