ProjectCoCID,ProjectID,CoCCode,Geocode,Address1,Address2,City,State,ZIP,GeographyType,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
"PC123456","RRH122","XX-501","003300","168 Oak Ave",,"Washington","XX","00333",3,"2017-08-02 10:55:11","2021-08-15 09:54:16",,,608011156
"PC123457","RRH123","XX-501","002200","843 Cedar Way",,"Springfield","XX","00222",2,"2017-08-02 11:00:54","2024-03-09 23:31:51",,,608011156
"PC123458","RRH124","XX-501","001100","298 Second Ave",,"Franklin","XX","00111",1,"2017-08-02 11:10:15","2021-08-15 11:00:51",,,608011156
"PC123459","TRN104","XX-501","001100","955 Third Ave",,"Bristol","XX","00111",1,"2017-08-02 12:00:37","2021-09-04 11:00:06",,,608011156
"PC123460","TRN118","XX-501","001100","778 Oak Way",,"Chester","XX","00111",1,"2017-08-02 12:23:50","2021-08-15 11:28:47",,,608011156
"PC123461","NXS125","XX-501","001100","848 Oak Rd",,"Bristol","XX","00111",1,"2017-08-02 12:26:46","2021-04-04 11:34:03",,,608011156
"PC123462","NBN105","XX-501","001100","481 Third Rd",,"Bristol","XX","00111",1,"2017-08-02 12:31:25","2021-04-04 11:26:07",,,608011156
"PC123463","NXS107","XX-501","001100","245 Second Way",,"Bristol","XX","00111",1,"2017-08-02 12:33:37","2023-03-01 10:16:54",,,608011156
"PC123464","RRH121","XX-501","001100","659 Park Ave",,"Bristol","XX","00111",1,"2017-08-02 12:56:21","2021-08-15 11:41:11",,,608011156
"PC123465","NXS114","XX-501","001100","427 Park Way",,"Clinton","XX","00111",1,"2017-08-02 12:56:37","2021-08-15 11:43:29",,,608011156
"PC123466","TRN117","XX-501","001100","562 Second St",,"Fairview","XX","00111",1,"2017-08-02 13:01:08","2021-04-04 10:36:21",,,608011156
"PC123467","NXS102","XX-501","001100","626 Oak St",,"Chester","XX","00111",1,"2017-08-02 13:02:39","2021-08-15 11:33:34",,,608011156
"PC123468","NXS106","XX-501","001100","386 Cedar Ave",,"Greenville","XX","00111",1,"2017-08-02 13:07:23","2021-04-10 14:44:14",,,608011156
"PC123469","NXS112","XX-501","003300","778 Cedar Way",,"Arlington","XX","00333",3,"2017-08-02 14:00:17","2021-04-10 11:28:28",,,608011156
"PC123470","NXS108","XX-501","003300","779 Third St",,"Fairview","XX","00333",3,"2017-08-02 14:02:27","2021-08-15 11:19:06",,,608011156
"PC123471","NXS109","XX-501","003300","496 Pine Way",,"Centerville","XX","00333",3,"2017-08-02 14:20:50","2021-04-10 11:01:31",,,608011156
"PC123472","NXS110","XX-501","001100","394 Pine Rd",,"Fairview","XX","00111",1,"2017-08-02 14:35:11","2021-04-10 11:43:53",,,608011156
"PC123473","NXS103","XX-501","001100","113 Cedar Rd",,"Washington","XX","00111",1,"2017-08-02 14:41:27","2021-04-04 11:16:41",,,608011156
"PC123474","NXS113","XX-501","001100","369 Oak St",,"Washington","XX","00111",1,"2017-08-02 14:58:27","2023-08-30 14:17:25",,,608011156
"PC123475","NXS116","XX-501","001100","579 Third Rd",,"Clinton","XX","00111",1,"2017-11-03 11:14:02","2021-08-15 09:49:17",,,608011156
"PC123476","NXS127","XX-501","001100","225 Park Way",,"Clinton","XX","00111",1,"2017-11-10 08:48:24","2021-04-04 11:37:51",,,608011156
"PC123477","NXS128","XX-501","001100","271 Oak St",,"Greenville","XX","00111",1,"2017-12-29 07:36:32","2021-08-15 10:01:07",,,608011156
"PC123478","NXS111","XX-501","001100","386 Main St",,"Washington","XX","00111",1,"2018-02-18 08:54:49","2023-11-12 15:49:01",,,608011156
"PC123479","RRH126","XX-501","002200","148 Cedar Rd",,"Centerville","XX","00222",2,"2018-02-18 11:26:58","2021-08-15 10:12:14",,,608011156
