PersonalID,episodeStart,episodeEnd,episodeDays,Step
"C10980",2024-08-08,2025-11-13,463,"7.7.2"
"C10986",2023-11-09,2023-11-26,18,"7.7.2"
"C10989",2024-01-03,2024-07-16,196,"7.7.2"
"C10992",2022-11-05,2025-12-15,1137,"7.7.2"
"C11004",2024-04-27,2024-05-10,14,"7.7.2"
"C11010",2023-10-14,2023-10-27,14,"7.7.2"
"C11016",2026-02-23,2026-03-20,26,"7.7.2"
"C11028",2025-02-16,2025-03-07,20,"7.7.2"
"C11031",2024-05-05,2025-01-02,243,"7.7.2"
"C11031",2025-01-15,,,"7.7.2"
"C11034",2025-09-11,2025-10-20,40,"7.7.2"
"C11040",2025-01-12,2025-02-13,33,"7.7.2"
"C11040",2025-07-27,2025-08-26,31,"7.7.2"
"C11043",2022-06-05,2024-02-02,608,"7.7.2"
"C11043",2024-02-15,2024-02-17,3,"7.7.2"
"C11043",2024-02-26,2024-02-27,2,"7.7.2"
"C11043",2025-02-17,2025-03-15,27,"7.7.2"
"C11046",2024-05-10,2024-07-14,66,"7.7.2"
"C11046",2025-10-10,2025-11-19,41,"7.7.2"
"C11049",2025-06-02,2025-08-15,75,"7.7.2"
"C11052",2024-01-08,2024-01-30,23,"7.7.2"
"C11055",2023-11-04,2023-12-07,34,"7.7.2"
"C11064",2023-06-22,2023-07-18,27,"7.7.2"
"C11070",2025-11-27,2026-01-23,58,"7.7.2"
"C11073",2023-08-27,2023-09-25,30,"7.7.2"
"C11073",2024-10-30,2024-12-09,41,"7.7.2"
"C11079",2025-06-29,2025-08-09,42,"7.7.2"
"C11085",2025-06-15,2025-07-14,30,"7.7.2"
"C11091",2023-08-10,2023-10-04,56,"7.7.2"
"C11097",2022-10-01,2023-11-10,406,"7.7.2"
"C11100",2022-10-01,2023-11-10,406,"7.7.2"
"C11106",2024-05-01,2024-05-27,27,"7.7.2"
"C11112",2025-04-08,2025-05-17,40,"7.7.2"
"C11115",2023-12-24,2024-01-11,19,"7.7.2"
"C11118",2024-12-15,2025-01-03,20,"7.7.2"
"C11121",2025-06-20,2025-07-30,41,"7.7.2"
"C11124",2023-12-09,2024-01-18,41,"7.7.2"
"C11124",2024-09-22,2025-04-17,208,"7.7.2"
"C11127",2023-03-07,2023-04-19,44,"7.7.2"
"C11127",2023-09-06,2025-08-03,698,"7.7.2"
"C11136",2023-11-06,2023-12-18,43,"7.7.2"
"C11136",2024-09-14,2024-11-26,74,"7.7.2"
"C11139",2023-11-06,2023-12-18,43,"7.7.2"
"C11139",2026-02-03,2026-03-04,30,"7.7.2"
"C11142",2025-07-21,2025-08-29,40,"7.7.2"
"C11145",2025-08-09,2025-10-20,73,"7.7.2"
"C11151",2023-08-13,2023-12-01,111,"7.7.2"
"C11157",2023-12-02,2023-12-15,14,"7.7.2"
"C11160",2022-07-06,2023-06-21,351,"7.7.2"
"C11163",2025-02-06,2025-03-16,39,"7.7.2"
"C11163",2025-11-11,2025-11-24,14,"7.7.2"
"C11175",2023-04-10,2023-05-13,34,"7.7.2"
"C11175",2025-06-03,2025-08-12,71,"7.7.2"
"C11178",2023-12-25,2024-01-16,23,"7.7.2"
"C11178",2024-11-16,2024-12-03,18,"7.7.2"
"C11181",2023-10-21,2023-12-04,45,"7.7.2"
"C11190",2025-01-26,2025-04-05,70,"7.7.2"
"C11193",2025-01-26,2025-04-05,70,"7.7.2"
"C11196",2023-06-04,2024-06-20,383,"7.7.2"
"C11199",2025-04-19,2025-06-02,45,"7.7.2"
"C11205",2025-05-18,2025-09-24,130,"7.7.2"
"C11205",2025-10-14,2025-10-30,17,"7.7.2"
"C11214",2024-02-08,2024-02-11,4,"7.7.2"
"C11214",2025-10-26,2026-02-08,106,"7.7.2"
"C11217",2024-04-08,2024-05-23,46,"7.7.2"
"C11220",2026-01-10,2026-03-13,63,"7.7.2"
"C11226",2025-10-24,2025-12-26,64,"7.7.2"
"C11229",2025-11-07,2025-12-24,48,"7.7.2"
"C11232",2025-11-29,2025-12-30,32,"7.7.2"
"C11235",2025-01-08,2025-02-20,44,"7.7.2"
"C11241",2025-06-22,2025-07-25,34,"7.7.2"
"C11250",2026-02-02,2026-02-21,20,"7.7.2"
"C11253",2024-10-29,2024-12-19,52,"7.7.2"
"C11256",2024-01-08,2024-01-23,16,"7.7.2"
"C11256",2024-12-31,2025-02-15,47,"7.7.2"
"C11268",2024-06-17,2024-07-31,45,"7.7.2"
"C11268",2025-11-08,2025-11-27,20,"7.7.2"
"C11271",2023-10-16,2023-11-22,38,"7.7.2"
"C11274",2025-06-17,2025-08-01,46,"7.7.2"
"C11277",2023-10-21,2023-12-04,45,"7.7.2"
"C11280",2025-01-21,2025-02-19,30,"7.7.2"
"C11283",2023-10-16,2023-11-02,18,"7.7.2"
"C11292",2023-11-24,2024-02-23,92,"7.7.2"
"C11292",2024-12-03,2025-02-19,79,"7.7.2"
"C11292",2025-04-17,2025-05-18,32,"7.7.2"
"C11292",2025-10-07,2025-10-29,23,"7.7.2"
"C11295",2025-11-15,2026-01-05,52,"7.7.2"
"C11298",2023-10-11,2023-11-13,34,"7.7.2"
"C11301",2025-06-07,2025-07-30,54,"7.7.2"
"C11307",2025-04-09,2025-05-22,44,"7.7.2"
"C11310",2025-04-04,2025-08-30,149,"7.7.2"
"C11313",2024-12-14,2025-01-03,21,"7.7.2"
"C11316",2024-04-02,2024-04-17,16,"7.7.2"
"C11319",2026-03-04,2026-03-20,17,"7.7.2"
"C11322",2023-12-16,2024-01-23,39,"7.7.2"
"C11325",2025-05-29,2025-06-18,21,"7.7.2"
"C11328",2025-08-06,2026-01-20,168,"7.7.2"
"C11337",2024-01-07,2024-06-09,155,"7.7.2"
"C11340",2023-05-02,2023-11-12,195,"7.7.2"
"C11343",2025-01-18,2025-01-30,13,"7.7.2"
"C11346",2025-05-18,2025-08-11,86,"7.7.2"
"C11349",2026-02-09,2026-03-14,34,"7.7.2"
"C11355",2024-04-08,2024-04-22,15,"7.7.2"
"C11361",2023-03-05,2023-10-30,240,"7.7.2"
"C11367",2025-02-25,2025-03-20,24,"7.7.2"
"C11373",2024-08-03,2024-08-29,27,"7.7.2"
"C11376",2023-05-31,2023-09-03,96,"7.7.2"
"C11382",2025-09-07,2025-09-27,21,"7.7.2"
"C11391",2023-09-18,2023-10-08,21,"7.7.2"
"C11394",2023-09-28,2023-11-02,36,"7.7.2"
"C11397",2023-06-04,2024-01-10,221,"7.7.2"
"C11400",2024-10-05,2024-12-29,86,"7.7.2"
"C11412",2025-11-29,2026-01-13,46,"7.7.2"
"C11415",2024-03-15,2024-04-05,22,"7.7.2"
"C11418",2024-05-20,2024-07-23,65,"7.7.2"
"C11418",2025-04-05,2025-06-16,73,"7.7.2"
"C11421",2024-05-20,2024-07-23,65,"7.7.2"
"C11421",2025-04-05,2025-06-16,73,"7.7.2"
"C11424",2026-02-12,2026-03-21,38,"7.7.2"
"C11427",2025-07-10,2025-08-11,33,"7.7.2"
"C11430",2023-07-26,2023-08-19,25,"7.7.2"
