PersonalID,excludeDate,Step
"C11031",2025-01-03,"7.5"
"C11031",2025-01-04,"7.5"
"C11031",2025-01-05,"7.5"
"C11031",2025-01-06,"7.5"
"C11031",2025-01-07,"7.5"
"C11031",2025-01-08,"7.5"
"C11031",2025-01-09,"7.5"
"C11031",2025-01-10,"7.5"
"C11031",2025-01-11,"7.5"
"C11031",2025-01-12,"7.5"
"C11031",2025-01-13,"7.5"
"C11031",2025-01-14,"7.5"
"C11064",2023-07-19,"7.5"
"C11064",2023-07-20,"7.5"
"C11064",2023-07-21,"7.5"
"C11064",2023-07-22,"7.5"
"C11064",2023-07-23,"7.5"
"C11064",2023-07-24,"7.5"
"C11064",2023-07-25,"7.5"
"C11064",2023-07-26,"7.5"
"C11064",2023-07-27,"7.5"
"C11064",2023-07-28,"7.5"
"C11064",2023-07-29,"7.5"
"C11064",2023-07-30,"7.5"
"C11064",2023-07-31,"7.5"
"C11064",2023-08-01,"7.5"
"C11064",2023-08-02,"7.5"
"C11064",2023-08-03,"7.5"
"C11064",2023-08-04,"7.5"
"C11064",2023-08-05,"7.5"
"C11064",2023-08-06,"7.5"
"C11064",2023-08-07,"7.5"
"C11064",2023-08-08,"7.5"
"C11064",2023-08-09,"7.5"
"C11064",2023-08-10,"7.5"
"C11064",2023-08-11,"7.5"
"C11064",2023-08-12,"7.5"
"C11064",2023-08-13,"7.5"
"C11064",2023-08-14,"7.5"
"C11064",2023-08-15,"7.5"
"C11064",2023-08-16,"7.5"
"C11064",2023-08-17,"7.5"
"C11064",2023-08-18,"7.5"
"C11064",2023-08-19,"7.5"
"C11064",2023-08-20,"7.5"
"C11064",2023-08-21,"7.5"
"C11064",2023-08-22,"7.5"
"C11064",2023-08-23,"7.5"
"C11064",2023-08-24,"7.5"
"C11064",2023-08-25,"7.5"
"C11064",2023-08-26,"7.5"
"C11064",2023-08-27,"7.5"
"C11064",2023-08-28,"7.5"
"C11064",2023-08-29,"7.5"
"C11064",2023-08-30,"7.5"
"C11064",2023-08-31,"7.5"
"C11064",2023-09-01,"7.5"
"C11064",2023-09-02,"7.5"
"C11064",2023-09-03,"7.5"
"C11064",2023-09-04,"7.5"
"C11064",2023-09-05,"7.5"
"C11064",2023-09-06,"7.5"
"C11064",2023-09-07,"7.5"
"C11064",2023-09-08,"7.5"
"C11064",2023-09-09,"7.5"
"C11064",2023-09-10,"7.5"
"C11064",2023-09-11,"7.5"
"C11064",2023-09-12,"7.5"
"C11064",2023-09-13,"7.5"
"C11064",2023-09-14,"7.5"
"C11064",2023-09-15,"7.5"
"C11064",2023-09-16,"7.5"
"C11064",2023-09-17,"7.5"
"C11064",2023-09-18,"7.5"
"C11064",2023-09-19,"7.5"
"C11064",2023-09-20,"7.5"
"C11064",2023-09-21,"7.5"
"C11064",2023-09-22,"7.5"
"C11064",2023-09-23,"7.5"
"C11064",2023-09-24,"7.5"
"C11064",2023-09-25,"7.5"
"C11064",2023-09-26,"7.5"
"C11064",2023-09-27,"7.5"
"C11064",2023-09-28,"7.5"
"C11064",2023-09-29,"7.5"
"C11064",2023-09-30,"7.5"
"C11064",2023-10-01,"7.5"
"C11064",2023-10-02,"7.5"
"C11064",2023-10-03,"7.5"
"C11127",2023-04-20,"7.5"
"C11127",2023-04-21,"7.5"
"C11127",2023-04-22,"7.5"
"C11127",2023-04-23,"7.5"
"C11127",2023-04-24,"7.5"
"C11127",2023-04-25,"7.5"
"C11127",2023-04-26,"7.5"
"C11127",2023-04-27,"7.5"
"C11127",2023-04-28,"7.5"
"C11127",2023-04-29,"7.5"
"C11127",2023-04-30,"7.5"
"C11127",2023-05-01,"7.5"
"C11127",2023-05-02,"7.5"
"C11127",2023-05-03,"7.5"
"C11127",2023-05-04,"7.5"
"C11127",2023-05-05,"7.5"
"C11127",2023-05-06,"7.5"
"C11127",2023-05-07,"7.5"
"C11127",2023-05-08,"7.5"
"C11127",2023-05-09,"7.5"
"C11127",2023-05-10,"7.5"
"C11127",2023-05-11,"7.5"
"C11127",2023-05-12,"7.5"
"C11127",2023-05-13,"7.5"
"C11127",2023-05-14,"7.5"
"C11127",2023-05-15,"7.5"
"C11127",2023-05-16,"7.5"
"C11127",2023-05-17,"7.5"
"C11127",2023-05-18,"7.5"
"C11127",2023-05-19,"7.5"
"C11127",2023-05-20,"7.5"
"C11127",2023-05-21,"7.5"
"C11127",2023-05-22,"7.5"
"C11127",2023-05-23,"7.5"
"C11127",2023-05-24,"7.5"
"C11127",2023-05-25,"7.5"
"C11127",2023-05-26,"7.5"
"C11127",2023-05-27,"7.5"
"C11127",2023-05-28,"7.5"
"C11127",2023-05-29,"7.5"
"C11127",2023-05-30,"7.5"
"C11127",2023-05-31,"7.5"
"C11127",2023-06-01,"7.5"
"C11127",2023-06-02,"7.5"
"C11127",2023-06-03,"7.5"
"C11127",2023-06-04,"7.5"
"C11127",2023-06-05,"7.5"
"C11127",2023-06-06,"7.5"
"C11127",2023-06-07,"7.5"
"C11127",2023-06-08,"7.5"
"C11127",2023-06-09,"7.5"
"C11127",2023-06-10,"7.5"
"C11127",2023-06-11,"7.5"
"C11127",2023-06-12,"7.5"
"C11127",2023-06-13,"7.5"
"C11127",2023-06-14,"7.5"
"C11127",2023-06-15,"7.5"
"C11127",2023-06-16,"7.5"
"C11127",2023-06-17,"7.5"
"C11127",2023-06-18,"7.5"
"C11127",2023-06-19,"7.5"
"C11127",2023-06-20,"7.5"
"C11127",2023-06-21,"7.5"
"C11127",2023-06-22,"7.5"
"C11127",2023-06-23,"7.5"
"C11127",2023-06-24,"7.5"
"C11127",2023-06-25,"7.5"
"C11127",2023-06-26,"7.5"
"C11127",2023-06-27,"7.5"
"C11127",2023-06-28,"7.5"
"C11127",2023-06-29,"7.5"
"C11127",2023-06-30,"7.5"
"C11127",2023-07-01,"7.5"
"C11127",2023-07-02,"7.5"
"C11127",2023-07-03,"7.5"
"C11127",2023-07-04,"7.5"
"C11127",2023-07-05,"7.5"
"C11127",2023-07-06,"7.5"
"C11127",2023-07-07,"7.5"
"C11127",2023-07-08,"7.5"
"C11127",2023-07-09,"7.5"
"C11127",2023-07-10,"7.5"
"C11127",2023-07-11,"7.5"
"C11127",2023-07-12,"7.5"
"C11127",2023-07-13,"7.5"
"C11127",2023-07-14,"7.5"
"C11127",2023-07-15,"7.5"
"C11127",2023-07-16,"7.5"
"C11127",2023-07-17,"7.5"
"C11127",2023-07-18,"7.5"
"C11127",2023-07-19,"7.5"
"C11127",2023-07-20,"7.5"
"C11127",2023-07-21,"7.5"
"C11127",2023-07-22,"7.5"
"C11127",2023-07-23,"7.5"
"C11127",2023-07-24,"7.5"
"C11127",2023-07-25,"7.5"
"C11127",2023-07-26,"7.5"
"C11127",2023-07-27,"7.5"
"C11127",2023-07-28,"7.5"
"C11127",2023-07-29,"7.5"
"C11127",2023-07-30,"7.5"
"C11127",2023-07-31,"7.5"
"C11127",2023-08-01,"7.5"
"C11127",2023-08-02,"7.5"
"C11127",2023-08-03,"7.5"
"C11127",2023-08-04,"7.5"
"C11127",2023-08-05,"7.5"
"C11127",2023-08-06,"7.5"
"C11127",2023-08-07,"7.5"
"C11127",2023-08-08,"7.5"
"C11127",2023-08-09,"7.5"
"C11127",2023-08-10,"7.5"
"C11127",2023-08-11,"7.5"
"C11127",2023-08-12,"7.5"
"C11127",2023-08-13,"7.5"
"C11127",2023-08-14,"7.5"
"C11127",2023-08-15,"7.5"
"C11127",2023-08-16,"7.5"
"C11127",2023-08-17,"7.5"
"C11127",2023-08-18,"7.5"
"C11127",2023-08-19,"7.5"
"C11127",2023-08-20,"7.5"
"C11127",2023-08-21,"7.5"
"C11127",2023-08-22,"7.5"
"C11127",2023-08-23,"7.5"
"C11127",2023-08-24,"7.5"
"C11127",2023-08-25,"7.5"
