HoHID,HHType,Cohort,StartDate,EndDate,Step
"C11013",1,1,2023-10-29,2023-12-11,"6.12.2.a"
"C11013",1,1,2023-12-08,2023-12-19,"6.12.2.a"
"C11013",1,1,2023-12-17,2023-12-29,"6.12.2.a"
"C11013",1,1,2023-12-26,2024-01-05,"6.12.2.a"
"C11013",1,1,2024-01-03,2024-01-22,"6.12.2.a"
"C11013",1,1,2024-05-07,2025-09-24,"6.12.2.a"
"C11013",1,1,2024-10-12,2025-02-18,"6.12.2.a"
"C11013",1,1,2025-09-04,2026-03-25,"6.12.2.a"
"C11043",1,1,2023-08-17,2023-08-23,"6.12.2.b"
"C11043",1,1,2023-09-03,2023-09-09,"6.12.2.b"
"C11043",1,1,2023-10-01,2023-10-07,"6.12.2.b"
"C11043",1,1,2023-10-05,2023-11-11,"6.12.2.a"
"C11043",1,1,2023-11-06,2023-12-13,"6.12.2.a"
"C11043",1,1,2023-12-09,2024-01-03,"6.12.2.a"
"C11043",1,1,2024-02-02,2024-02-08,"6.12.2.b"
"C11043",1,1,2024-02-15,2024-02-21,"6.12.2.b"
"C11043",1,1,2024-02-16,2024-02-22,"6.12.2.b"
"C11043",1,1,2024-02-17,2024-02-23,"6.12.2.b"
"C11043",1,1,2024-02-26,2024-03-03,"6.12.2.b"
"C11043",1,1,2024-02-27,2024-03-04,"6.12.2.b"
"C11043",1,1,2025-03-08,2025-03-14,"6.12.2.b"
"C11043",1,1,2025-03-14,2025-03-20,"6.12.2.b"
"C11043",1,1,2025-03-31,2025-04-06,"6.12.2.b"
"C11043",1,1,2025-04-05,2025-07-29,"6.12.2.a"
"C11043",1,1,2025-04-07,2025-04-13,"6.12.2.b"
"C11043",1,1,2025-04-08,2025-04-14,"6.12.2.b"
"C11043",1,1,2025-04-18,2025-04-24,"6.12.2.b"
"C11043",1,1,2025-04-20,2025-04-26,"6.12.2.b"
"C11043",1,1,2025-04-21,2025-04-27,"6.12.2.b"
"C11043",1,1,2025-04-22,2025-04-28,"6.12.2.b"
"C11043",1,1,2025-04-23,2025-04-29,"6.12.2.b"
"C11043",1,1,2025-04-24,2025-04-30,"6.12.2.b"
"C11043",1,1,2025-04-25,2025-05-01,"6.12.2.b"
"C11043",1,1,2025-04-26,2025-05-02,"6.12.2.b"
"C11043",1,1,2025-04-27,2025-05-03,"6.12.2.b"
"C11043",1,1,2025-04-28,2025-05-04,"6.12.2.b"
"C11043",1,1,2025-04-29,2025-05-05,"6.12.2.b"
"C11043",1,1,2025-04-30,2025-05-06,"6.12.2.b"
"C11043",1,1,2025-05-01,2025-05-07,"6.12.2.b"
"C11043",1,1,2025-05-02,2025-05-08,"6.12.2.b"
"C11043",1,1,2025-05-03,2025-05-09,"6.12.2.b"
"C11043",1,1,2025-05-05,2025-05-11,"6.12.2.b"
"C11043",1,1,2025-05-06,2025-05-12,"6.12.2.b"
"C11043",1,1,2025-05-07,2025-05-13,"6.12.2.b"
"C11043",1,1,2025-05-08,2025-05-14,"6.12.2.b"
"C11043",1,1,2025-05-09,2025-05-15,"6.12.2.b"
"C11043",1,1,2025-05-10,2025-05-16,"6.12.2.b"
"C11043",1,1,2025-05-11,2025-05-17,"6.12.2.b"
"C11043",1,1,2025-05-12,2025-05-18,"6.12.2.b"
"C11043",1,1,2025-05-13,2025-05-19,"6.12.2.b"
"C11043",1,1,2025-05-14,2025-05-20,"6.12.2.b"
"C11043",1,1,2025-05-15,2025-05-21,"6.12.2.b"
"C11043",1,1,2025-05-16,2025-05-22,"6.12.2.b"
"C11043",1,1,2025-07-24,2026-09-30,"6.12.2.a"
"C11403",1,1,2024-10-20,2025-02-18,"6.12.2.a"
"C11403",1,1,2025-04-25,2025-07-05,"6.12.2.a"
"C11403",1,1,2025-06-29,2026-09-30,"6.12.2.a"
"C11610",1,1,2025-09-12,2025-09-25,"6.12.2.a"
"C11610",1,1,2025-09-21,2025-10-13,"6.12.2.a"
"C11736",1,1,2024-10-27,2024-12-09,"6.12.2.a"
"C11736",1,1,2024-12-03,2024-12-20,"6.12.2.a"
"C11736",1,1,2024-12-29,2025-01-04,"6.12.2.b"
"C11736",1,1,2024-12-30,2025-08-22,"6.12.2.a"
"C11736",1,1,2025-01-05,2025-01-11,"6.12.2.b"
"C11736",1,1,2025-01-07,2025-01-13,"6.12.2.b"
"C11736",1,1,2025-01-21,2025-01-27,"6.12.2.b"
"C11736",1,1,2025-01-29,2025-02-04,"6.12.2.b"
"C11736",1,1,2025-01-30,2025-02-05,"6.12.2.b"
"C11736",1,1,2025-02-01,2025-02-07,"6.12.2.b"
"C11736",1,1,2025-02-02,2025-02-08,"6.12.2.b"
"C11736",1,1,2025-02-03,2025-02-09,"6.12.2.b"
"C11736",1,1,2025-02-04,2025-02-10,"6.12.2.b"
"C11736",1,1,2025-02-06,2025-02-12,"6.12.2.b"
"C11736",1,1,2025-02-07,2025-02-13,"6.12.2.b"
"C11736",1,1,2025-02-08,2025-02-14,"6.12.2.b"
"C11736",1,1,2025-02-09,2025-02-15,"6.12.2.b"
"C11736",1,1,2025-02-10,2025-02-16,"6.12.2.b"
"C11736",1,1,2025-02-11,2025-02-17,"6.12.2.b"
"C11736",1,1,2025-02-13,2025-02-19,"6.12.2.b"
"C11736",1,1,2025-02-14,2025-02-20,"6.12.2.b"
"C11736",1,1,2025-02-15,2025-02-21,"6.12.2.b"
"C11736",1,1,2025-02-16,2025-02-22,"6.12.2.b"
"C11736",1,1,2025-02-18,2025-02-24,"6.12.2.b"
"C11736",1,1,2025-02-22,2025-02-28,"6.12.2.b"
"C11736",1,1,2025-02-26,2025-03-04,"6.12.2.b"
"C11736",1,1,2025-03-21,2025-03-27,"6.12.2.b"
"C11736",1,1,2025-03-22,2025-03-28,"6.12.2.b"
"C11736",1,1,2025-03-25,2025-03-31,"6.12.2.b"
"C11736",1,1,2025-04-01,2025-04-07,"6.12.2.b"
"C11736",1,1,2025-04-11,2025-04-17,"6.12.2.b"
"C11736",1,1,2025-04-13,2025-04-19,"6.12.2.b"
"C11736",1,1,2025-04-14,2025-04-20,"6.12.2.b"
"C11736",1,1,2025-04-16,2025-04-22,"6.12.2.b"
"C11736",1,1,2025-04-17,2025-04-23,"6.12.2.b"
"C11736",1,1,2025-04-18,2025-04-24,"6.12.2.b"
"C11736",1,1,2025-08-16,2026-09-30,"6.12.2.a"
"C11781",1,1,2024-12-28,2025-01-18,"6.12.2.a"
"C11781",1,1,2025-03-29,2025-09-13,"6.12.2.a"
"C11781",1,1,2025-09-08,2025-10-13,"6.12.2.a"
"C12099",1,1,2025-06-13,2025-06-19,"6.12.2.b"
"C12099",1,1,2025-06-21,2025-06-27,"6.12.2.b"
"C12099",1,1,2025-06-23,2025-06-29,"6.12.2.b"
"C12099",1,1,2025-06-25,2025-07-01,"6.12.2.b"
"C12099",1,1,2025-06-29,2025-07-05,"6.12.2.b"
"C12099",1,1,2025-07-05,2025-07-11,"6.12.2.b"
"C12099",1,1,2025-07-10,2025-07-16,"6.12.2.b"
"C12099",1,1,2025-07-14,2025-07-20,"6.12.2.b"
"C12099",1,1,2025-07-15,2025-07-21,"6.12.2.b"
"C12099",1,1,2025-07-22,2025-07-28,"6.12.2.b"
"C12099",1,1,2025-07-25,2025-07-31,"6.12.2.b"
