HoHID,HHType,Cohort,StartDate,EndDate,Step
"C10980",1,0,2025-08-07,2025-11-07,"7.11.2.a"
"C11013",1,-2,2023-10-29,2023-12-11,"7.11.2.a"
"C11013",1,-2,2023-12-08,2023-12-19,"7.11.2.a"
"C11013",1,-2,2023-12-17,2023-12-29,"7.11.2.a"
"C11013",1,-2,2023-12-26,2024-01-05,"7.11.2.a"
"C11013",1,-2,2024-01-03,2024-01-22,"7.11.2.a"
"C11013",1,0,2023-10-29,2023-12-11,"7.11.2.a"
"C11013",1,0,2023-12-08,2023-12-19,"7.11.2.a"
"C11013",1,0,2023-12-17,2023-12-29,"7.11.2.a"
"C11013",1,0,2023-12-26,2024-01-05,"7.11.2.a"
"C11013",1,0,2024-01-03,2024-01-22,"7.11.2.a"
"C11013",1,0,2024-05-07,2025-09-24,"7.11.2.a"
"C11013",1,0,2024-10-12,2025-02-18,"7.11.2.a"
"C11013",1,0,2025-09-04,2026-03-25,"7.11.2.a"
"C11031",1,-1,2024-06-09,2024-10-26,"7.11.2.a"
"C11031",1,-1,2024-09-02,2025-01-21,"7.11.2.a"
"C11043",1,-2,2023-08-17,2023-08-23,"7.11.2.b"
"C11043",1,-2,2023-09-03,2023-09-09,"7.11.2.b"
"C11043",1,-2,2023-10-01,2023-10-07,"7.11.2.b"
"C11043",1,-2,2023-10-05,2023-11-11,"7.11.2.a"
"C11043",1,-2,2023-11-06,2023-12-13,"7.11.2.a"
"C11043",1,-2,2023-12-09,2024-01-03,"7.11.2.a"
"C11172",1,-2,2023-11-29,2023-12-11,"7.11.2.a"
"C11172",1,-2,2023-12-08,2023-12-18,"7.11.2.a"
"C11172",1,-2,2023-12-14,2023-12-24,"7.11.2.a"
"C11172",1,-2,2023-12-22,2024-01-07,"7.11.2.a"
"C11172",1,-2,2024-01-02,2024-01-21,"7.11.2.a"
"C11214",1,0,2024-02-08,2024-02-14,"7.11.2.b"
"C11214",1,0,2024-02-10,2024-02-16,"7.11.2.b"
"C11214",1,0,2024-02-11,2024-02-17,"7.11.2.b"
"C11214",1,0,2025-11-21,2025-11-28,"7.11.2.a"
"C11214",1,0,2025-11-26,2025-12-09,"7.11.2.a"
"C11214",1,0,2025-12-07,2025-12-21,"7.11.2.a"
"C11214",1,0,2025-12-17,2025-12-28,"7.11.2.a"
"C11214",1,0,2025-12-25,2026-01-03,"7.11.2.a"
"C11214",1,0,2026-01-01,2026-01-22,"7.11.2.a"
"C11214",1,0,2026-01-17,2026-01-29,"7.11.2.a"
"C11214",1,0,2026-01-26,2026-02-15,"7.11.2.a"
"C11295",1,0,2025-11-15,2025-11-21,"7.11.2.b"
"C11295",1,0,2025-11-16,2025-11-22,"7.11.2.b"
"C11295",1,0,2025-11-18,2025-11-24,"7.11.2.b"
"C11295",1,0,2025-11-19,2025-11-25,"7.11.2.b"
"C11295",1,0,2025-11-23,2025-11-29,"7.11.2.b"
"C11295",1,0,2025-11-24,2025-11-30,"7.11.2.b"
"C11295",1,0,2025-11-25,2025-12-01,"7.11.2.b"
"C11295",1,0,2025-11-26,2025-12-02,"7.11.2.b"
"C11295",1,0,2025-11-27,2025-12-03,"7.11.2.b"
"C11295",1,0,2025-11-28,2025-12-04,"7.11.2.b"
"C11295",1,0,2025-11-29,2025-12-05,"7.11.2.b"
"C11295",1,0,2025-11-30,2025-12-06,"7.11.2.b"
"C11295",1,0,2025-12-01,2025-12-07,"7.11.2.b"
"C11295",1,0,2025-12-02,2025-12-08,"7.11.2.b"
"C11295",1,0,2025-12-03,2025-12-09,"7.11.2.b"
"C11295",1,0,2025-12-05,2025-12-11,"7.11.2.b"
"C11295",1,0,2025-12-06,2025-12-12,"7.11.2.b"
"C11295",1,0,2025-12-07,2025-12-13,"7.11.2.b"
"C11295",1,0,2025-12-08,2025-12-14,"7.11.2.b"
"C11295",1,0,2025-12-09,2025-12-15,"7.11.2.b"
"C11295",1,0,2025-12-11,2025-12-17,"7.11.2.b"
"C11295",1,0,2025-12-12,2025-12-18,"7.11.2.b"
"C11295",1,0,2025-12-13,2025-12-19,"7.11.2.b"
"C11295",1,0,2025-12-14,2025-12-20,"7.11.2.b"
"C11295",1,0,2025-12-15,2025-12-21,"7.11.2.b"
"C11295",1,0,2025-12-16,2025-12-22,"7.11.2.b"
"C11295",1,0,2025-12-17,2025-12-23,"7.11.2.b"
"C11295",1,0,2025-12-18,2025-12-24,"7.11.2.b"
"C11295",1,0,2025-12-19,2025-12-25,"7.11.2.b"
"C11295",1,0,2025-12-21,2025-12-27,"7.11.2.b"
"C11295",1,0,2025-12-23,2025-12-29,"7.11.2.b"
"C11295",1,0,2025-12-24,2025-12-30,"7.11.2.b"
