HoHID,HHType,QualifyingExitHHID,LastInactive,Cohort,Stat,ExitFrom,ExitTo,ReturnTime,HHVet,HHChronic,HHDisability,HHFleeingDV,HoHRaceEthnicity,HHAdultAge,HHParent,AC3Plus,SystemPath,ReportID,Step
"C10968",1,"NXS11014237HH1",2024-01-10,-2,1,2,431,-1,0,1,1,2,2,25,0,0,1,608011156,"7.12.4"
"C10986",1,"NXS11312508HH1",2023-11-08,-2,1,2,313,-1,0,0,0,0,5,25,0,0,1,608011156,"7.12.4"
"C10989",1,"NXS11115031HH1",2024-03-25,-2,1,2,431,591,0,0,1,0,12,55,0,0,1,608011156,"7.12.4"
"C10998",1,"NXS12712355HH1",2023-11-02,-2,1,2,313,-1,1,1,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11001",1,"RSO15214093HH1",2024-01-05,-2,1,9,410,-1,0,0,0,0,5,25,0,0,12,608011156,"7.12.4"
"C11004",1,"NXS11315324HH1",2024-04-26,-2,1,2,312,-1,0,0,1,2,3,25,0,0,1,608011156,"7.12.4"
"C11010",1,"NXS10611820HH1",2023-10-13,-2,1,2,423,-1,0,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11013",1,"NXS12713994HH1",2023-10-28,-2,5,2,313,112,0,1,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11019",1,"NXS10612502HH1",2023-11-08,-2,1,2,410,-1,0,4,0,2,3,55,0,0,1,608011156,"7.12.4"
"C11043",1,"NXS12713328HH1",2023-09-30,-2,5,2,313,36,0,1,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11046",1,"NXS10615438HH1",2024-05-09,-2,1,2,420,452,0,0,1,1,5,25,0,0,1,608011156,"7.12.4"
"C11052",1,"NXS11414167HH1",2024-01-07,-2,1,2,101,-1,1,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11055",1,"NXS11112683HH1",2023-11-12,-2,1,2,99,-1,0,0,0,0,3,55,0,0,1,608011156,"7.12.4"
"C11064",2,"RRH13210563HH4",2023-07-13,-2,1,5,410,-1,0,0,0,1,3,25,1,1,4,608011156,"7.12.4"
"C11094",1,"NXS10214501HH1",2024-01-20,-2,1,2,101,-1,0,1,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11097",2,"NXS10210114HH3",2022-09-30,-2,1,2,422,-1,0,4,0,0,3,25,1,0,1,608011156,"7.12.4"
"C11106",1,"NXS11115370HH1",2024-04-30,-2,1,2,313,-1,0,0,1,1,15,25,0,0,1,608011156,"7.12.4"
"C11109",1,"NXS10615313HH1",2024-04-25,-2,1,2,98,-1,0,1,1,0,67,25,0,0,1,608011156,"7.12.4"
"C11115",1,"NXS10613744HH1",2023-12-23,-2,1,2,98,-1,0,0,1,0,3,25,0,0,1,608011156,"7.12.4"
"C11124",2,"NXS10213366HH2",2023-12-08,-2,1,2,422,385,0,0,0,2,5,25,1,0,1,608011156,"7.12.4"
"C11130",1,"TRN10415354HH1",2024-04-29,-2,1,3,302,-1,0,0,1,0,5,25,0,0,2,608011156,"7.12.4"
"C11136",1,"NXS11112446HH2",2023-11-05,-2,1,2,410,304,0,0,1,3,5,25,1,0,1,608011156,"7.12.4"
"C11151",1,"NXS10812058HH1",2023-10-20,-2,1,2,99,-1,0,0,0,1,5,55,0,0,1,608011156,"7.12.4"
"C11157",1,"NXS10613159HH1",2023-12-01,-2,1,2,98,-1,0,0,1,1,15,25,0,0,1,608011156,"7.12.4"
"C11172",1,"NXS12713990HH1",2023-11-28,-2,5,2,116,33,1,1,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11175",1,"RRH13210335HH1",2023-04-28,-2,1,5,410,518,0,9,1,0,13,55,0,0,4,608011156,"7.12.4"
"C11178",1,"NXS10813776HH1",2023-12-24,-2,1,2,423,304,0,9,1,0,5,55,0,0,1,608011156,"7.12.4"
"C11181",1,"NXS11112042HH2",2023-10-20,-2,1,2,420,-1,1,0,1,0,5,25,0,0,1,608011156,"7.12.4"
"C11196",1,"NXS11115645HH2",2024-06-05,-2,1,2,98,201,0,1,1,1,2,25,0,0,1,608011156,"7.12.4"
"C11214",1,"NBN10514715HH1",2024-02-07,-2,1,2,99,648,0,0,1,0,3,25,0,0,1,608011156,"7.12.4"
