HoHID,HHType,FirstEntry,LastInactive,Stat,StatEnrollmentID,ReturnTime,HHChronic,HHVet,HHDisability,HHFleeingDV,HoHRaceEthnicity,HHAdult,HHChild,HHNoDOB,HHAdultAge,HHParent,ESTStatus,ESTGeography,ESTLivingSit,ESTDestination,ESTChronic,ESTVet,ESTDisability,ESTFleeingDV,ESTAC3Plus,ESTAdultAge,ESTParent,RRHStatus,RRHMoveIn,RRHGeography,RRHLivingSit,RRHDestination,RRHPreMoveInDays,RRHChronic,RRHVet,RRHDisability,RRHFleeingDV,RRHAC3Plus,RRHAdultAge,RRHParent,PSHStatus,PSHMoveIn,PSHGeography,PSHLivingSit,PSHDestination,PSHHousedDays,PSHChronic,PSHVet,PSHDisability,PSHFleeingDV,PSHAC3Plus,PSHAdultAge,PSHParent,ESDays,THDays,ESTDays,RRHPSHPreMoveInDays,RRHHousedDays,SystemDaysNotPSHHoused,SystemHomelessDays,Other3917Days,TotalHomelessDays,SystemPath,ESTAIR,RRHAIR,PSHAIR,RRHSOStatus,RRHSOMoveIn,ReportID,Step
"C10974",1,2026-07-03,2026-07-02,1,,-1,0,1,0,0,5,1,0,0,55,0,22,1,116,206,0,1,0,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,14,14,0,0,14,14,56,70,2,1,0,0,0,-1,607271242,"6.18"
"C10977",1,2026-06-28,2026-06-27,1,,-1,0,0,1,0,3,1,0,0,55,0,21,1,99,-1,0,0,1,0,0,55,0,21,0,1,101,-1,73,0,0,1,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,20,0,20,59,0,79,79,26,105,5,1,0,0,0,-1,607271242,"6.18"
"C10980",1,2025-08-07,2025-08-06,5,,-1,1,0,1,0,5,1,0,0,55,0,12,3,116,433,1,0,1,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,86,0,86,0,0,86,86,365,451,1,1,0,0,22,0,607271242,"6.18"
"C10983",1,2026-07-11,2026-07-10,1,,-1,0,0,0,0,47,1,0,0,55,0,22,3,410,410,0,0,0,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,13,0,13,0,0,13,13,0,13,1,1,0,0,0,-1,607271242,"6.18"
"C10989",1,2026-02-28,2026-02-27,2,"NXS11115031",591,6,0,1,0,12,1,0,0,55,0,22,1,116,225,0,0,1,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,74,0,74,0,0,74,74,3,77,1,1,0,0,0,-1,607271242,"6.18"
"C10992",1,2025-11-08,2025-11-07,4,"NXS11619447",153,4,0,0,0,5,1,0,0,55,0,22,1,116,99,0,0,0,0,0,55,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,38,0,38,0,0,38,38,1100,1138,1,1,0,0,0,-1,607271242,"6.18"
"C10995",1,2022-12-09,2022-12-08,5,,-1,0,0,1,0,5,1,0,0,55,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,11,2,2,101,-1,1392,0,0,1,0,0,55,0,0,0,0,0,0,0,0,406,406,-1,0,0,1,0,-1,607271242,"6.18"
"C11013",1,2025-09-04,2024-05-06,5,"NXS12716911",-1,1,0,1,0,5,1,0,0,25,0,2,-1,-1,-1,0,0,0,0,0,-1,0,2,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,12,2,2,116,24,195,1,0,1,0,0,25,0,123,0,123,363,0,486,486,2297,2783,-1,0,0,1,0,-1,607271242,"6.18"
"C11016",1,2026-02-23,2026-02-22,1,,-1,0,0,1,1,5,1,0,0,25,0,22,3,335,410,0,0,1,1,0,25,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,26,0,26,0,0,26,26,0,26,1,1,0,0,0,-1,607271242,"6.18"
"C11025",1,2022-12-02,2022-12-01,5,,-1,0,0,1,0,5,1,0,0,55,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,11,2,2,116,-1,1398,0,0,1,0,0,55,0,0,0,0,1,0,1,1,1489,1490,-1,0,0,1,0,-1,607271242,"6.18"
